id,word,txt_file,index_of_word_in_txt_file,first_letter_uppercase,all_uppercase,word_len,part_of_upper_seq,pos_in_upper_seq,next_word_has_numerals,num_of_occurrences_of_word,word_only_contains_letters,previous_word_is_the,previous_word_is_from,previous_word_is_by,label
0,Toshiba,iset/100_B00QR59CPQ.txt,16,True,False,7,True,1,False,1,True,False,False,False,True
1,Apple,iset/100_B00QR59CPQ.txt,28,True,False,5,True,2,False,1,True,False,False,False,True
2,Intel,iset/100_B00QR59CPQ.txt,70,True,False,5,True,2,False,2,True,False,False,False,True
3,AMD,iset/100_B00QR59CPQ.txt,124,True,True,3,True,1,False,1,True,False,False,False,True
4,Intel,iset/101_B00QW08RB6.txt,61,True,False,5,True,1,False,1,True,False,False,False,True
5,ASUS,iset/101_B00QW08RB6.txt,118,True,True,4,False,0,True,1,True,False,False,False,True
6,Intel,iset/102_B00R8OQMUI.txt,7,True,False,5,True,1,False,1,True,False,False,False,True
7,Microsoft,iset/102_B00R8OQMUI.txt,20,True,False,9,True,1,False,1,True,False,False,False,True
8,Samsung,iset/103_B00RBDB1U2.txt,1,True,False,7,True,2,False,1,True,True,False,False,True
9,Samsung,iset/104_B00RBDB238.txt,242,True,False,7,True,1,False,2,True,False,False,False,True
10,Samsung,iset/104_B00RBDB238.txt,274,True,False,7,True,1,False,2,True,False,False,False,True
11,Intel,iset/104_B00RBDB238.txt,304,True,False,5,True,1,False,4,True,True,False,False,True
12,Intel,iset/104_B00RBDB238.txt,306,True,False,5,True,3,False,4,True,False,False,False,True
13,Intel,iset/104_B00RBDB238.txt,308,True,False,5,True,5,False,4,True,False,False,False,True
14,NVIDIA,iset/109_B00TBYYM46.txt,15,True,True,6,False,0,False,1,True,False,False,False,True
15,Dell,iset/109_B00TBYYM46.txt,58,True,False,4,True,6,False,1,True,False,False,False,True
16,Dropbox,iset/109_B00TBYYM46.txt,69,True,False,7,True,17,False,1,True,False,False,False,True
17,Intel,iset/109_B00TBYYM46.txt,78,True,False,5,True,2,False,2,True,False,False,False,True
18,Intel,iset/109_B00TBYYM46.txt,83,True,False,5,True,2,False,2,True,False,False,False,True
19,Microsoft,iset/109_B00TBYYM46.txt,113,True,False,9,True,3,False,1,True,False,False,False,True
20,Sony,iset/10_B0046R83L6.txt,0,True,False,4,True,1,True,1,True,False,False,False,True
21,Intel,iset/10_B0046R83L6.txt,3,True,False,5,True,1,False,1,True,False,False,False,True
22,NVIDIA,iset/110_B00TI6TAHQ.txt,22,True,True,6,True,2,False,1,True,False,False,False,True
23,NVIDIA,iset/111_B00TI6TASK.txt,18,True,True,6,True,1,False,1,True,False,False,False,True
24,NVIDIA,iset/112_B00U7P5ICS.txt,124,True,True,6,True,1,False,1,True,False,False,False,True
25,NVIDIA,iset/113_B00VRKV7I6.txt,11,True,True,6,True,2,False,1,True,False,False,False,True
26,Apple,iset/114_B00W2IGP6Q.txt,59,True,False,5,True,1,False,2,True,False,False,False,True
27,Apple,iset/114_B00W2IGP6Q.txt,63,True,False,5,True,5,False,2,True,False,False,False,True
28,MSI,iset/115_B00WENH3BU.txt,0,True,True,3,False,0,True,1,True,False,False,False,True
29,Intel,iset/115_B00WENH3BU.txt,3,True,False,5,True,1,False,1,True,False,False,False,True
30,NVIDIA,iset/116_B00WENH3ZG.txt,17,True,True,6,True,2,False,1,True,False,False,False,True
31,Intel,iset/116_B00WENH3ZG.txt,40,True,False,5,True,7,True,1,True,False,False,False,True
32,Klipsch,iset/117_B00WND5ETY.txt,220,True,False,7,False,0,False,1,True,False,False,True,True
33,Creative,iset/117_B00WND5ETY.txt,222,True,False,8,True,1,False,1,True,False,False,False,True
34,Intel,iset/117_B00WND5ETY.txt,265,True,False,5,True,2,False,2,True,False,False,False,True
35,Apple,iset/118_B00XCX3O8W.txt,24,True,False,5,True,2,False,2,True,False,False,False,True
36,Apple,iset/118_B00XCX3O8W.txt,43,True,False,5,True,2,False,2,True,True,False,False,True
37,Intel,iset/118_B00XCX3O8W.txt,59,True,False,5,True,2,False,1,True,False,False,False,True
38,NVIDIA,iset/118_B00XCX3O8W.txt,122,True,True,6,True,1,False,2,True,False,False,False,True
39,NVIDIA,iset/118_B00XCX3O8W.txt,135,True,True,6,True,1,False,2,True,False,False,False,True
40,Samsung,iset/11_B004B57XTG.txt,1,True,False,7,True,2,True,1,True,True,False,False,True
41,Intel,iset/11_B004B57XTG.txt,51,True,False,5,True,1,False,1,True,False,False,False,True
42,NVIDIA,iset/11_B004B57XTG.txt,64,True,True,6,True,1,False,1,True,False,False,False,True
43,Intel,iset/120_B00XM0DY7G.txt,274,True,False,5,True,1,False,1,True,False,False,False,True
44,Intel,iset/124_B00YHU62KG.txt,15,True,False,5,True,2,False,2,True,False,False,False,True
