N82E16812189186,Link Depot HDMI-6-MINI 6 ft. Mini HDMI Cable,9,.99,6,Link Depot,HDMI-6-MINI
9SIA76H2GU0794,5 pcs HDMI Female to Female F/F Coupler Extender Adapter Connector for HDTV HDCP 1080P,4,.99,2,Five Star Inc,5xSKU020345
9SIA24G28N2645,"Belkin F8V3311B06 HDMI to HDMI Cable (Supports Amazon Fire TV and other HDMI-Enabled Devices), HDMI 2.0 / 4K Compatible, 6 Feet",9,.04,2,Belkin,F8V3311b06
N82E16882241133,Insten 675811 6 ft. Black (1) HDMI Male / (1) HDMI Female 1X High Speed HDMI Cable M/F Extension,8,.99,2,Insten,675811
N82E16882422015,Coboc HD2SLDVI-6WH White Color 6 ft.30AWG High Speed  HDMI to DVI-D(18+1) Adapter Cable w/Ferrite Cores - 1920 x 1080p,3,.49,2,Coboc,HD2SLDVI-6WH
9SIA8SV3806290,2X1 Pigtail HDMI Switch,13,.99,2,None,None
N82E16886984125,Insten 1846930 20ft Black Cable M-M,11,.99,2,Insten,1846930
N82E16812400492,StarTech HDCDVIMM2M 6.5 ft. Black Mini HDMI (19 pin) to DVI-D (19 pin) Cable M-M,12,.99,2,StarTech,HDCDVIMM2M
N82E16882422128,Coboc EA-HDAC-10-BL 10 ft. Blue HDMI A Male to A Male blue color 28AWG High Speed HDMI w/Ethernet Certified Cable w/Ferrite Cores M-M,5,.99,2,Coboc,EA-HDAC-10-BL
N82E16882422011,Coboc HD2SLDVI-3BK Black Color 3 ft.30AWG High Speed  HDMI to DVI-D(18+1) Adapter Cable w/Ferrite Cores - 1920 x 1080p,2,.99,2,Coboc,HD2SLDVI-3BK
9SIA0AJ38J4262,"Accell B100C-003B-43 3.3 ft. Black AVGrip HDMI  Cable, 6.75 Gbps w/ Locking Connectors, CL3",44,.95,3,Accell,B100C-003B-43
9SIA2F85B43038,SIIG CB-HM0062-S1 32.8 ft. Black Connector A: 1 x Male HDMI Connector Connector B: 1 x Male HDMI Connector High-quality HDMI to HDMI cable,56,.47,3,SIIG,CB-HM0062-S1
9SIA24G4YW9940,Link Depot HDMI-3-MINI 3 ft. Mini HDMI Cable,15,.47,3,Link Depot,HDMI-3-MINI
9SIA4R83VG4423,CABLES UNLIMITED PCM-2292-01M 3.3 feet Black UltraFlat High Speed HDMI Cable M-M,14,.99,3,CABLES UNLIMITED,PCM-2292-01M
N82E16886929046,GearIT GI-HDMI20-WH-15FT 15ft White High-Speed 2.0 HDMI Cable with Ethernet Support 4K UHD 3D and Audio Return M-M,10,.33,3,GearIT,GI-HDMI20-WH-15FT
9SIA2JX0YW4217,180° Swivel Micro HDMI Male to HDMI Female Adapter Connector Converter Right Angle Turn Rotate Gold Plated for DC Camcorder Tablet Smart Phone HTC Motorola XT800 HTC EVO 4G to Plasma Flat TV HDTV -OEM - OEM,8,.95,3,Waver Technology Limited,"(1)	If you are looking for large quantity, we have them in Hong Kong warehouse, you can look for this item number 9SIA2JX1XS7528.  (2) Or, access this link: http://www.newegg.com/Product/Product.aspx?Item=9SIA2JX1XS7528&ignorebbr=1 (3) For buyers outside USA, please contact us."
9SIA24G4R65976,HDMI to DP 1.2 Adapter,48,.07,0,StarTech,HD2DP
