9SIA4M553Z6725,Verbatim Store 'n' Go 16GB USB 2.0 Flash Drive (Red) Model 96317,10,.48,23,Verbatim,96317
9SIA6NC35N4242,Kingston DataTraveler Micro 3.1 32GB USB 3.1/3.0 Type-A Metal Ultra-Compact Flash Drive Model DTMC3/32GB,15,.67,10,Kingston,DTMC3/32GB
N82E16820233642,"Corsair 16GB Voyager USB 3.0 Flash Drive, Speed Up to 200MB/s (CMFVY3A-16GB)",12,.99,10,CORSAIR,CMFVY3A-16GB
9SIA0AJ59X3991,"Samsung 32GB BAR Blue (Plastic) USB 3.0 Flash Drive, Speed Up to 130MB/s (MUF-32BC/AM)",39,.95,10,SAMSUNG,MUF-32BC/AM
N82E16820239766,Kingston 32GB DataTraveler G4 USB 3.0 Flash Drive (DTIG4/32GB),12,.95,10,Kingston,DTIG4/32GB
9SIA4YU2AH8506,Transcend JetFlash 760 16GB USB 3.0 Flash Drive Model TS16GJF760,9,.95,11,Transcend,TS16GJF760
9SIA8UT5BU3682,"Verbatim 32GB Store 'n' Go V3 USB 3.0 Flash Drive, Black/Gray Model 49173",21,.34,11,Verbatim,49173
9SIA4YU3W63649,Silicon Power 32GB Jewel J06 USB 3.0 Flash Drive (SP032GBUF3J06V1D),19,.17,11,Silicon Power,None
9SIA9KW3K17993,Kingston DataTraveler microDuo 16GB Micro USB OTG Flash Drive Model DTDUO/16GB,10,.37,11,Kingston,DTDUO/16GB
9SIA25V3H56481,SUPER TALENT Pico_C 2GB Flash Drive (USB2.0 Portable) Model STU2GPCS,70,.58,11,SUPER TALENT,STU2GPCS
9SIA1K65268661,Transcend JetFlash 700 32GB USB 3.0 Flash Drive Model TS32GJF700,15,.14,11,Transcend,TS32GJF700
9SIA24G28M5801,"Verbatim 32GB Store 'n' Go V3 USB 3.0 Flash Drive, Black/Gray Model 49173",15,.66,11,Verbatim,49173
9SIA0AJ4HF4205,ADATA DashDrive Elite UE700 32GB USB 3.0 Flash Drive Model AUE700-32G-CBK,17,.89,11,ADATA,AUE700-32G-CBK
9SIA0AJ4U32752,Silicon Power 16GB Blaze B05 USB 3.0 Flash Drive (SP016GBUF3B05V1K),19,.95,11,Silicon Power,None
N82E16820239914,Kingston DataTraveler R3.0 G2 64GB USB 3.0 Flash Drive Model DTR30G2/64GB,32,.99,11,Kingston,DTR30G2/64GB
9SIA98C44G1808,Patriot Supersonic Mini 32GB USB 3.0 Flash Drive Model PSF32GSMUSB,23,.57,11,Patriot,PSF32GSMUSB
9SIA6NC58J6079,Kingston DataTraveler microDuo 32GB Micro USB OTG Flash Drive Model DTDUO/32GB,13,.46,11,Kingston,DTDUO/32GB
9SIA12K0F13305,SanDisk Cruzer Fit 32GB 32G USB 2.0 Flash Drive with Free Lanyard,15,.18,11,SanDisk,SDCZ33-016G-B35
