9SIA85V4R42414,14-127-832,637
N82E16814487248,14-487-248,265
9SIA85V4R41272,14-487-077,259
N82E16814125871,14-125-871,272
N82E16814487259,14-487-259,280
N82E16814487245,14-487-245,312
9SIA85V4R41706,14-127-874,309
N82E16814487024,14-487-024,390
9SIA85V4SC8402,14-121-899,483
N82E16814127955,14-127-955,148
9SIA85V4SR9652,14-127-833,162
9SIA0AJ40W5929,9SIA0AJ40W5929,0
9SIA85V4R41361,14-127-850,164
N82E16814487244,14-487-244,190
N82E16814127947,14-127-947,217
N82E16814126115,14-126-115,36
9SIA85V55A7666,14-202-228,14
N82E16814500397,14-500-397,13
9SIABVR5451985,14-127-966,15
N82E16814487283,14-487-283,14
N82E16814133632,14-133-632,16
N82E16814130813,14-130-813,15
N82E16814129108,14-129-108,15
N82E16814487281,14-487-281,15
N82E16814133638,14-133-638,16
9SIA85V4SC8376,14-487-042,3
9SIA1N84KK2615,14-127-940,16
N82E16814150775,14-150-775,17
9SIA85V4M09594,14-125-824,17
N82E16814126112,14-126-112,17
N82E16814126135,14-126-135,20
N82E16814125904,14-125-904,20
9SIA24G4Y06574,14-125-813,17
N82E16814125903,14-125-903,18
N82E16814487268,14-487-268,18
N82E16814125906,14-125-906,18
N82E16814202227,14-202-227,19
9SIA85V4R42433,14-127-913,18
9SIA24G3KF9288,14-500-382,18
N82E16814500409,14-500-409,18
N82E16814137046,14-137-046,26
N82E16814150778,14-150-778,23
9SIA85V4M08220,14-125-774,19
9SIA85V3UM9048,14-121-967,19
N82E16814137025,14-137-025,23
9SIA2F84BC9276,14-487-221,20
9SIA1UH4VD1572,14-487-267,21
N82E16814127738,14-127-738,20
N82E16814137054,14-137-054,22
9SIA2F83MX9921,14-129-274,20
N82E16814150777,14-150-777,22
N82E16814202226,14-202-226,22
N82E16814126110,14-126-110,22
N82E16814126124,14-126-124,23
N82E16814131697,14-131-697,22
9SIA85V3YF4430,14-121-980,22
N82E16814487204,14-487-204,23
N82E16814500412,14-500-412,21
N82E16814487266,14-487-266,27
N82E16814137049,14-137-049,37
N82E16814126114,14-126-114,24
N82E16814127945,14-127-945,22
N82E16814487262,14-487-262,22
N82E16814150753,14-150-753,24
N82E16814127951,14-127-951,25
N82E16814129091,14-129-091,24
N82E16814487114,14-487-114,24
N82E16814500411,14-500-411,26
9SIACVB58K6661,14-125-896,24
N82E16814202230,14-202-230,24
9SIA2SN3GS1627,14-121-641,25
9SIA24G4NE4699,14-500-396,24
N82E16814130608,14-130-608,24
9SIA85V4RA6946,14-125-778,25
N82E16814125785,14-125-785,25
N82E16814137050,14-137-050,30
N82E16814137081,14-137-081,32
9SIA85V3YF4418,14-500-371,26
9SIA0AJ2978245,14-500-364,26
N82E16814127852,14-127-852,28
N82E16814131696,14-131-696,27
N82E16814126133,14-126-133,27
N82E16814121896,14-121-896,28
N82E16814125876,14-125-876,27
9SIA6ZP3R96044,14-150-567,28
9SIA0AJ3Z11961,14-121-979,28
N82E16814137033,14-137-033,29
9SIA24G28N1018,14-121-799,28
N82E16814125897,14-125-897,32
N82E16814125870,14-125-870,28
N82E16814202224,14-202-224,31
9SIA6ZP3R86639,14-125-836,29
9SIA85V4XF1431,14-126-101,30
N82E16814137018,14-137-018,31
9SIA65C4Z97980,14-133-631,32
9SIA85V4R62457,14-131-687,31
9SIA85V4R42172,14-487-159,43
N82E16814500398,14-500-398,32
N82E16814137056,14-137-056,37
N82E16814130788,14-130-788,32
N82E16814487263,14-487-263,32
N82E16814487260,14-487-260,32
9SIA6ZP3SZ3216,14-150-716,32
N82E16814133542,14-133-542,32
9SIA85V4TF5910,14-125-840,32
N82E16814126113,14-126-113,34
N82E16814127946,14-127-946,33
N82E16814126119,14-126-119,35
N82E16814127952,14-127-952,33
N82E16814150776,14-150-776,33
N82E16814125879,14-125-879,36
N82E16814126122,14-126-122,36
N82E16814131695,14-131-695,38
N82E16814487291,14-487-291,42
