N82E16824009869,24-009-869,126
9SIA2F849K5393,24-106-003,115
N82E16824236335,24-236-335,479
N82E16824236757,24-236-757,26
N82E16824011066,24-011-066,26
N82E16824016314,24-016-314,23
N82E16824002655,24-002-655,0
9SIAA0T59K0399,24-116-705,10
N82E16824116817,24-116-817,8
N82E16824112025,24-112-025,60
N82E16824160278,24-160-278,39
N82E16824236584,24-236-584,81
N82E16824160240,24-160-240,31
N82E16824260115,24-260-115,39
N82E16824236717,24-236-717,69
9SIA4P04RG7171,24-022-405,6
N82E16824116806,24-116-806,0
9SIA1N83Z95275,24-016-378,0
N82E16824236115,24-236-115,22
9SIAC4Z5241418,24-025-009,24
N82E16824116719,24-116-719,3
N82E16824236581,24-236-581,3
9SIAC4Z5241486,24-025-343,9
N82E16824025073,24-025-073,8
9SIA2F83426216,24-009-542,3
N82E16824236331,24-236-331,104
N82E16824160155,24-160-155,20
N82E16824009776,24-009-776,2
N82E16824116808,24-116-808,2
N82E16824116663,24-116-663,14
9SIA2F83425949,24-116-102,3
N82E16824160279,24-160-279,6
N82E16824022312,24-022-312,0
N82E16824236310,24-236-310,44
N82E16824014450,24-014-450,2
9SIAA0T58N6908,24-116-807,2
9SIA1N83U90720,24-116-783,5
9SIA1N84E99614,24-116-818,2
9SIA24G3RH7825,2W2-000X-00001,3
9SIA4P04BU0964,24-025-363,8
N82E16824236287,24-236-287,155
N82E16824116777,24-116-777,9
N82E16824236107,24-236-107,111
N82E16824236451,24-236-451,5
N82E16824236738,24-236-738,2
N82E16824009483,24-009-483,287
9SIA1N82837252,24-236-306,10
9SIA1N82B48095,24-236-288,166
N82E16824236204,24-236-204,10
1B4-008M-00025,1B4-008M-00025,0
N82E16824014431,24-014-431,8
N82E16824236362,24-236-362,32
N82E16824160253,24-160-253,8
9SIA4P04578697,24-025-338,1
N82E16824009996,24-009-996,12
N82E16824160170,24-160-170,15
N82E16824276197,24-276-198,9
N82E16824014576,24-014-576,3
N82E16824014523,24-014-523,3
N82E16824160297,24-160-297,6
N82E16824236716,24-236-716,7
N82E16824116778,24-116-778,8
N82E16824025065,24-025-065,9
N82E16824160215,24-160-215,3
9SIA1N855C4202,24-009-997,5
N82E16824009893,24-009-893,21
N82E16824014574,24-014-574,1
N82E16824236357,24-236-357,18
