9SIA1UH4M58378,22-165-610,2/29/2016 12:43:59 PM,Anonymous,Dead. No hope for recovery. Just a couple months passed the warranty expiration.,1, Inexpensive large capacity raid NAS.," It died. I have no idea how. To my knowledge there were never any warning signs. Not only does it show errors indicating the drives are dead, I can no longer connect to it on my network. I was able to connect several times, and tried to copy it's contents to another drive, but it would get stuck, then throw and error, and then disappear from the network again. I've even tested the unit on autonomous workstations directly. It's done for. So are all my backups.",,None,None
9SIA1UH4M58378,22-165-610,4/5/2015 9:36:49 PM,John H.,,4, Nice Storage; Can upgrade drives; nice backup software; Auto-Recovers the RAID Array," Does not always detect, especially via the RAID Utility; If you change or loose the configuration (i.e. swap drives and then swap back) the controller will not read the drives and import their settings. Instead you must re-setup the raid, then it will detect the drive and all the information stored on them, only to force a format on the drives, not auto-recover the RAID array."," senses that it is plugged in via 5v usb power; if for some reason this is not supplied, ie pci-e card is not plugged in, then the drive will shut off.",None,None
9SIA4T01GV1173,22-236-573,3/25/2014 3:27:00 PM,maria b.,Sleek compact style,5," CompactLooks goodComes with everything you need, and even a small pouch to protect it from...scratches i guess?", None that I've experienced.  Maybe unnecessary software?," Very easy Plug and Play.  Didn't install anything extra, Windows picked it right up.  Used to back up my parents computers before a wipe.",None,None
9SIA8H531C6881,22-158-062,1/19/2010 1:10:17 PM,Brad S.,Awful,1, Umm.. it generally works for a bit after you first receive it.," These drives have proven to be the most unreliable piece of hardware I've ever encountered. We purchased several of these throughout the year and have had a failure rate of about 50% (6/12). What prompted me to write this review is I'm currently loading the drives with data sans the key. That's right, no key. I'm guessing this drive will fail as well and I'll be forced to reload 1TB of data onto it.", I'm pretty much done implementing a TrueCrypt software to our problem. Avoid these things at all cost. I've only used the 1TB version but from what I've seen this review should probably apply to all BusLink products. They are pieces of junk that have cost me DAYS of work and quite a bit of face in our customers eyes.,5,5
N82E16822165440,22-165-440,1/15/2017 10:47:18 PM,Christopher R.,Good desktop drive,4," - It taught me that I need to update my usb driver. I realized I had gone into my Device Manager and deleted a few usb drivers that I thought were device drivers. I went to my PC Manufacturers support site and got the intel usb 3.0 driver and that blue light on the front of the drive lit up, indicating that itself was operating at super speed.- Pretty fast for USB connection. Just transferred my 350 GB movie library to it in about 35 minutes. - This drive is definitely capable of handling data from creative software as the main drive handles the tasking. This will work great handling samples and patches for my music software.- easy to install, and included software is recommended to install to ensure peak performance. The included software gives you much more details about your data transfer than standard OS copy function."," - sturdy unit so far, it does seem kinda ""plastic"". So recommending keeping it in a place out of the way. it is a desktop drive so it should be used accordingly...not the most portable thing. This drive will stay at home. My flash drive will be it's cloud. - a longer power cord would be nice.",,None,None
9SIA57Z3WK5545,1E8-004Z-00008,4/9/2016 2:46:42 PM,Timothy S.,Junk,1, None! Scrap!, Would not initialize! 3 times. Would not format ever!, Seams I was sold junk for the price of return shipping. Junk price from a junk seller.,1,1
9SIA3FA2H20356,0BD-009Y-00004,4/3/2014 8:16:42 AM,James G.,Nice Addition to the home network,5, Very quiet and fast transfer speeds. Use it on my desktop to stream movies and TV shows to my WD Live Tvs. Not once has it frozen or skipped a beat, Bit pricey but you always get what you pay for. Kinda heavy but you can put it in a place that you will not even notice it. The blue light is really bright, Altogether you pay a lot up front but over time you save money because you do not have to keep buying seperate HDD to store your stuff.,1,1
9SIA24G1S88528,22-510-019,10/14/2015 3:11:41 PM,Thomas K.,G-G-G G-Unit,5," Love this drive. Beats any external storage I've owned from WD or Seagate in terms of speed and reliability (so far). It's perhaps the coolest looking thing on my desk and has gotten quite a few compliments on its stylishness.Oh, and it's aluminum.", Fantom is a little vague about their drive specs. Not a con for me but it has a blue LED that flashes quite a bit and may cause epileptic seizures or annoy spectators., Make sure you remember to check the cache size before purchasing. I almost forgot and ended up with the 32MB instead of the 64.,1,1
9SIA4RE4S98308,22-242-029,7/12/2010 5:49:44 AM,Russell S.,,4," So far so good, only used it 3 times so far, and havent had any trouble with it.  It was transferring data at the same rate as my 1.5T Samsung.  It's very quiet..."," Theres a little cheap on/off switch on back. Looks like the switch could break easy. Also, the AC adapter is the kind that plugs directly into wall socket, taking up valueable room. It comes formated in FAT32, but it only took a few seconds to format to NTFS.",,None,None
9SIA1UH3YS7482,1E8-004N-00011,6/12/2016 1:39:08 PM,Clinton D.,What a difference this makes,5, I can copy files fast download fast and there is plenty of space.  I run a DJ business and need a large Hard Drive to hold the millions of songs that are out there.   Perfect for the job., Be careful when you lay it on the side.  It will get warm if you lay on the wrong side., Great price and product.  I would highly recommend this.,None,None
