N82E16812189186,12-189-186,11/15/2011 9:15:09 AM,Norma A.,Ok Cord,4, Cheap cheap cheap. Works decently., The mini HDMI connector is loose which now causes problems when connecting to my computer.  Makes it kind of frustrating because the slightest tap and it disconnects.  Takes a little finagling to get it back in right., Still for 8 bucks what else can you ask for.  It does work most of the time.,None,None
N82E16812189186,12-189-186,9/12/2011 2:14:33 PM,John M.,6ft HDMI Mini,5, Cheap/Works great, Didn't cost me enough money,,None,None
N82E16812189186,12-189-186,7/18/2011 1:59:20 PM,Anonymous,Cheap!!!!,5, A great price for what is normally a very expensive accessory. Miny HDMI to HDMI don't get any cheaper than this. If you need this kind of cord get this one!!!!!, shipping charges maybe?,,None,None
N82E16812189186,12-189-186,7/15/2011 1:38:38 PM,Christopher M.,Questionable Quality,1, Price.," When using this cable to connect my GTX 580 to my SyncMaster CA750 it created blue artifacts across the screen, the issue did not persist when switching to DVI cable or when I swapped the cable out for another HDMI cable I was using for my PS3, so this cable was definitely the cause."," I've purchased Link Depot Ethernet cables in the past and have had no issues, but Ethernet and HDMI cables are quite different..",None,None
N82E16812189186,12-189-186,4/8/2011 12:29:45 AM,Jason S.,Perfect,4, Works perfectly., A bit stiff.," Bought because my DV camera didn't come with one.  Allows for options a USB connection does not.  I have other cables from Link Depot, and am satisfied.  You want high quality? Buy Monster, you want value and performance? Link Depot.",0,1
N82E16812189186,12-189-186,2/10/2011 2:06:00 PM,Benjamin B.,Good Cable,5," This cable is well built, and works great.I dont have a device capable of 1080p but at 720p it works flawlessly with good picture and sound. fantastic price.I'm using this with archos 70 IT, and it is perfect.", none," The cable is really thick, and the fit is really snug in my mini HDMI port. This could be the device itself or the the cable. Either way I'm not sure if that is a pro or a con so I put it here.",2,2
9SIA76H2GU0794,1DG-0009-00016,1/1/2016 3:18:54 PM,Steven B.,Good Bargain,5," Price. great deal for the money, cheaper option than a longer hdmi cable, Works Great.", None.,,None,None
9SIA76H2GU0794,1DG-0009-00016,12/16/2015 8:13:40 PM,Enoch A.,"Great package, they arrived on time",4, Everything looks OK. Will continue to monitor product for quality issues.," None yet, but will update should any occur.",,None,None
9SIA24G28N2645,82-123-230,10/29/2016 10:40:08 AM,Antonio E.,Great HDMI Cable,5, I love the fact how long the cable is, Not Gold,,None,None
9SIA24G28N2645,82-123-230,11/9/2014 7:21:07 AM,WES M.,Good quality for the price,5," HDMI cables work great, feel like good quality. HDMI-CEC working perfect on receiver and raspberry pi", None yet,,None,None
N82E16882241133,82-241-133,8/16/2015 12:15:06 PM,Larry W.,Wasted money,1, It looks like it would work.," It only carries video.  I've tried this cable on three different devices and two different video devices.  Directly to the HDMI, no problems.  Use this cable to extend the length and you will either lose audio or have nothing at all.  DONT WASTE YOUR MONEY."," I originally bought this to give an extension to a cable which plugs in to a Atrix 4G Lapdock (for raspberry pi, or just an external monitor) which my current 6 inch cable works just fine (tested).  I tested it on a TV with a laptop first.  then with another laptop on the tv.  Then finally on the lapdock.  On the lapdock, nothing.  On the TV i either have no sound or nothing.  So there you have it, two monitors, three devices and defective on all.  BTW: This was with two different HDMI cables as well.  Too much to ship back.  Guess i'm out the $.",None,None
N82E16882241133,82-241-133,12/21/2014 4:52:36 PM,Claude S.,hdmi extension,5, I extended a 25' cable with this 6' and worked great., none," cost as much as the 25' cable, but got me just enough length for what I needed.",None,None
N82E16882422015,82-422-015,4/17/2016 12:49:04 PM,Steven M.,Coboc HD2SLDVI-6WH White Color 6 ft.30AWG,5," It works great I'm using it on my new 24"" acer monitor I also got from Newegg", none, none,None,None
N82E16882422015,82-422-015,3/13/2016 7:30:53 PM,Garry W.,Worked perfect!,5, Eliminated the need for any additional video adapters., None,,None,None
9SIA8SV3806290,0V5-00M2-001F2,1/26/2017 5:37:32 AM,Roger W.,"Simple design, Simple function",5, It's easy to use, None," Works great, has a single button and red led that shows you what hdmi you're currently using, hit the button and bam flicks to the other hdmi with no signal loss.",None,None
9SIA8SV3806290,0V5-00M2-001F2,4/10/2016 11:44:04 AM,Lewis H.,XLNT Product,5," Makes shifting cables super easy. just hit a button. Great for when an HDMI port goes bad, just plug this in and problem solved", none, highly recommended,None,None
N82E16886984125,86-984-125,2/12/2017 4:25:46 AM,MATTHEW N.,Great Product,5, Works like you would expect., None,,None,None
