N82E16828113975,28-113-975,2/1/2017 3:29:02 AM,Anonymous,Died after 2 weeks. Replacement printer working great.,4, Relatively quiet for a laser printer., Died after 2 weeks. No power. Returned for a replacement. Will update review after receiving replacement printer., Update 2/1/2017: Second printer has been working flawlessly. Must have just received a defective printer the first time.,None,None
N82E16828113975,28-113-975,10/29/2016 11:46:14 AM,DUANE H.,Works great; setup went exactly per instructions,5," The print quality is great, and it's very fast.  The slight delay on the first page (wakeup time) is of no consequence to me.  Small foot print for a printer with these capabilities - highly recommend.", None so far.,,1,1
N82E16828113975,28-113-975,4/26/2016 1:34:35 PM,Laurence K.,Great Product: Easy to Set Up and Use,5, -Works well with Macs-Extremely fast once printing starts-Considerable room for large reams of paper, -would like quicker response time after printer goes to sleep, Too soon to determine durability,1,1
N82E16828113975,28-113-975,3/20/2016 7:07:24 AM,Curtis S.,Easy Setup - Very Fast Printer,5," Quick Wake From Sleep, Fast Print Speed, Good Quality Prints, Holds full Ream of paper", Noise Level When Printing, This is a great group printer for the home or office.,1,1
9SIA2F82K20337,28-107-724,3/15/2015 10:45:47 AM,Martin J.,Oki B412dn mixed bag,3," Looks like solid hardware, old design that works well.  High monthly page duty cycle is appealing for heavy users.Supplies are available, and not insanely pricy.", Included drivers are insanely bad.  Windows 7 didn't want to install by any normal means. OS X didn't like the included drivers either.  EMBARRASSINGLY annoying.Printer doesn't work so reliably. Seems like software issue.," Kind of sad.  I went to an old stalwart like Oki after being appealed by the flimsy modern designs from HP.  The hardware itself didn't disappoint, but the drivers and installation software, was junk.",1,1
9SIA1N83TV6236,28-006-565,6/13/2014 7:54:29 AM,sandra r.,,3, *This printer is quite and very fast for an awesome price great job on lexmark  its been handling everything i throw at it.*Its small and it gets the job done with option for a 2nd tray expansion and a refuel ink for over 60k pg for 50 bucks that's crazy., *My only Con was with new egg.  I payed for next day air shipping had to call customer service so many times that i remember more then 50% of the employees names. I just wish the problem could have been resolved quicker. Any ways ups didn't deliver it it was fedex ground and it took literally 2 weeks from purchase. I received the printer called new egg and told them not to return the printer cause i have it but they had no idea where it was or where it was. The customer service team did lie to me a few times that it was on its way etc or on the plane but through the whole ordeal i had a manger take care of it and they gave me a $50 gift card., Awesome printer but the touch screen gets getting used to. (cause they're is a protective plastic over it.)New egg customer service needs to get it together and not falsify  information about a product being shipped.,None,None
9SIA9JA4NT2469,28-142-046,6/29/2013 7:29:32 AM,jason c.,Great All-in-One,5, Great for home or office, none,,None,None
9SIA6TP2P34917,1EE-0005-006A2,8/14/2015 2:18:38 PM,JOSHUA T.,Read carefully,2, It prints. Maybe., Read carefully. The very last line in particular. Does not come with toner! That means you can't test this to see if it even prints. You can buy the same working model elsewhere for a third of the price.," Granted, I should've done more homework before buying this. This mistake was completely avoidable, but nevertheless. Maybe I'll prevent another from making the same.",None,None
9SIA1UH52W8885,28-414-994,2/23/2017 7:57:28 AM,William R.,Drivers suck,2, they claim it will hold up to a good number of copies each day?, good luck getting this to work on LInux- could be because it is a new model the software that came with it gave a range of model numbers. I am not sure how well this will even work on Microsoft. Tales it's own good time to print.  This does work on MAC., I didn't buy this at new egg. I have an older HP 3055 that runs circles around this thing but it takes up a good amount of room so we thought this would save space.,None,None
9SIA4P03H83308,1EE-0003-000P7,9/30/2016 2:41:02 PM,Eric M.,Simple to setup and amazingly cool,5, love the dual side printing and network ready, Only used it for 1 week and so far works really really well., I would purchase this product again,None,None
