9SIA4T01GV1812,22-236-190,11/27/2012 11:13:13 PM,James K.,Finally An External That Rates!,5," Finally, an external drive that seems to do all it was intended to do!USB 3.0/2.0Quiet!Runs very cool.Software utilities with value.Password protect (if you chose).Even monitors other manufacturers drives in ""WD Smartware"".Updates drivers without having to go to the manufacturers site and hunt them down, just use the provided app.Comes NTFS formatted (MAC users need to reformat).Small. Fits easily into a pocket.Stackable if needed (don't know what the heat implications might be stacked).2 year warranty."," At the moment none! Should this change I will update this review.I read squawks about the drive activity light, but turning the drive, back to you, resolves the issue quite well. I don't need to see a flickering, or steady, light to know whether the drive is functioning appropriately or not. Believe me, if things go south you'll know!"," The purchase of this drive came about because my six month old Seagate Momentus ST9750420AS 750Gb internal storage disk crashed with about 450Gb's of movies on the disk ... Grrr! Now I have to go back and regain all that I have lost to a bad drive! That being said, I decided to try (and I'm glad I did) this current external drive, the WD My Passport 750GB Portable USB 3.0. While I RMA the failed, way before it's mean time (MTBF) Seagate. The Western Digital Portable is operating as expected, maybe even better. Although I will be getting a replacement drive from Seagate it will never see the inside of my machine. Instead, it will go into an external enclosure. I've decided to use the Western Digital Scorpio Black WD7500BPKT 750GB for my internal storage drive, primarily because it has a 5 year warranty, as opposed to Seagate's 2 year warranty. Besides, the WD drive has better (though not much) reviews.My Machine:ASUS G73jh-A1Intel Core i-7 940XM (1st Generation)Seagate Momentus XT 750Gb (ST750LX003)Western Digital Scorpio Black WD7500BPKT 750GB 7200 RPM 16MB Cache (storage)G.Skill 204 pin DDR3 16GB (F3-10600CL9D-8GBSQ X2Intel Advanced 6200N (NIC)ATI Mobility Radeon HD5870 GraphicsEAX Advanced HD 4.0Windows 7 Ultimate OS",1,1
9SIA4T01GV1812,22-236-190,11/20/2012 4:54:26 PM,Zachary H.,"Reliable, Fast, and Secure",4," This drive is really fast. It is limited by the speed of the physical drive itself rather than the USB 3.0 bus speed. It also includes the necessary USB3 cable to connect to your computer or laptop.In real world testing (transferring music, game files, text documents, jpeg images and CANON RAWs), I had around 65 MB/sec write speed. Smaller files will have a slower transfer rate (around 20-30MB/sec), but if you transfer rather large files (1GB+), you will see speeds reach past 100MB/sec.The build quality is very high, and the rubber feet on the bottom have good grip and eliminate all vibrations emitted by the drive.Software:Included on the drive are some software and manuals to get you set up for Mac and Windows. Together they are called WD Apps.The primary software, named Drive Utilities, can check the S.M.A.R.T. diagnostic information, run a two-minute self test, and can do a complete drive scan to check for bad sectors. You can also set the timer for when the drive shuts off while plugged in. Default is 30 minutes but you can increment it up to 90 minutes for time limits or just make it always stay powered up. You can even erase your drive from the Drive Utilities app. The other software included are WD Security, WD QuickView and WD SmartWare.WD Security is the app to set a password lock and will encrypt your drive for you.QuickView is a neat system tray icon that quickly displays all connected Passport drives with their name, usage, security status, and if the drive is at a stable temperature.WD SmartWare allows you to set up and customize automatic backups and see what’s on each partition."," The white LED can be bothersome (very bright) if not covered at night. IT is small enough (2mm) to easily be covered. Otherwise, it’s aesthetically pleasing to see.The only other con I find is that this drive costs on average $10 more than the competing drives. If price is a factor for you, then look elsewhere. This will not deter any loyal fans however."," I have been using this drive daily for over a month now and am quite satisfied with its reliability.This drive will fit in the average pocket albeit slightly larger than the average cellphone. I do not recommend placing anything else in the same pocket as the drive in case of scratches, but you can always just slip it into a pocket in a coat or backpack.",None,None
9SIA4T01GV1812,22-236-190,11/8/2012 6:40:44 AM,Edwin P.,Portable Speed,3," Fast, although nothing special when compared to other usb 3.0 drivesRounded housing with rubber feet sits stable on a desk.Didn't seem to get as warm as other 2.5"" portables I have usedQuality mechanical drive insideNo errors detected in several hours of a torture test.  Full scan of the disk reports no bad sectors"," LED light is brighter than it needs to beLED indicator light blinks annoyingly even when drive is idle.No easy way to replace the drive without damaging the case.capacity/price doesn't really add up for this drive, although that may change.Packaging was a little bit difficult to open without cutting the box."," The only thing that differentiates this drive from others is the included software.  Western Digital has always been known to provide good software with retail packages and this is no different.  If you can get this at the capacity per price ratio you are looking for, then I'd say it's a win.My grief with the indicator light may just be an opinion, but in a dark room it's noticeable out of the corner of my vision when I'm looking at the screen.  A couple of times I've checked to see if something was maybe accessing the drive.Drive is pre-formatted with NTFS, with 698.6 GB usable space.  There is 186 MB used by the included software, but that can be easily removed if you don't want it.If you love staring at blinking indicator lights, then this is the drive for you.  Otherwise, I would go with an alternative for the same capacity at the same price.USB 2.0 average speeds:Read:  25.7Write:  22.2",0,2
9SIA4T01GV1812,22-236-190,10/30/2012 10:43:51 PM,Anonymous,"Fast, Light Portable Hard Drive!",5," * Light Weight* Good Performance* Cool (USB 3.0 and USB 2.0 Modes)* No external Power Adapter needed* Automatically detected and installed by Windows 7* FastIncluded in box    698 GB Hard Drive with 697 GB Free out of Box.      Preinstalled software:      WD Drive Utilities (Backup, Diagnostics)   WD Security (Drive Password Protection)    USB 3.0 Cable", - Short USB cable   - Included Backup software has basic functionality that  power users may find lacking   - No preinstalled encryption software- Drive activity light on back of drive, Other Thoughts: Drive was automatically detected by Windows 7 and assigned drive letter.   Manually ran Western Digital application  package which auto installed WD applications on computer with minimal input.Automatically prompted to update software and firmware.   Updates went without a problem.  Now running Firmware v1.019.Using the WD Smartware backup application included on the HD it took 2 minutes 5 seconds to backup 8.38 gigs of data using a USB 3.0 port.   The included WD Smartware application is the easiest to use back up software that I have experienced.Had no issues installing or using drive.   Extremely easy to use for a novice.Using HARDiNFO7 to benchmark achieved a 95.17 MB/sec transfer rate on USB 3.0 Port.Using HardINF07 benchmarked Data Transfer Rate at 23.85 MB/sec on USB 2.0 Port.Test System:MSI Big Bang-XPower Motherboard with I7-950 Processor installed. Windows 7 64 Bit Edition,None,None
9SIA4T01GV1812,22-236-190,10/30/2012 3:14:32 PM,Phil U.,A convenience winner,5," All the convenience of a portable drive and faster than a typical SATA II Mechanical drive.Pros List:* USB 3.0* Quicker than a typical SATA II mechanical drive.* Quiet* Good drive housing construction – doesn’t feel like it will fall apart while also remaining light.* Drivers installed automatically by Windows 7 – Shows up as a HDD.* Established “Name Brand” maker with mature support procedures.* Bundled backup software (untested)In general I was surprised how much I liked this little drive.  I found this drive very suitable for transporting fairly large media, backups and or install images from location to location while also taking advantage of USB3 speeds where available and using USB2 where not."," Only minor issues:* Priced slightly more than competitive offerings but at 12c per GB still very reasonable.* Apt to get a bit warm (not a surprise) – I tried to come up with a way to use it as a hot drink warmer but the rounded edges make this unadvisable.* A bit too large and heavy to be carried in a pocket but certainly light enough to toss into the laptop bag without concern.I would have liked to have seen a light to indicate USB3 connection.  However, in retrospect simply touching the drive will probably tell me.  When connected via USB2 the drive didn’t get very warm but when connected via USB3 I became concerned enough lean it up against the edge of my monitor stand to ensure good airflow.  More than twice the speed also means much more heat."," >> HD Tune Benchmark Results << USB3 Connected:  Transfer Rate (Min 60.2 MB/Sec, Max 104.6 MB/Sec, Ave 84.5 MB/Sec) – Access Time 15.6 ms, - Burst Rate 137.0 MB/Sec USB2 Connected: Transfer Rate (Min 21.7 MB/Sec, Max 33.2 MB/Sec, Ave 32.4 MB/Sec) – Access Time 15.9 ms, - Burst Rate 27.7 MB/Sec >> Test system specifics <<CPU: Intel Core i7-2600K (@ 3.4GHz) = Stock clock.MB: ASRock Fatal1ty P67",1,1
9SIA4T01GV1812,22-236-190,9/28/2012 2:22:24 PM,Haroon A.,Great drive...,5," Small, works well, significant increase in data throughput from ~25GB/sec to ~55GB/sec.", None.,,None,None
9SIA4T01GV1812,22-236-190,5/24/2012 3:27:56 PM,Anna P.,Just what I needed,5, -small n portable-USB powered-easy to use, -$109 for 1TB at best buy-tons of software from WD lose 52GBs of space, USB 3.0 is transferring to the drive on an average of 58MB/s not bad compared to my old 1TB with a power cord that did about 22MB/s  This is on a ASUS motherboard 890GX with USB 3.0,1,1
N82E16822242015,22-242-015,12/27/2013 12:04:17 PM,Kevin W.,Great for price,4, Can't find a better product for this price., None,,None,None
N82E16822242015,22-242-015,4/28/2011 6:34:23 PM,Marc V.,Inexpensive Drive,4," This is a simple, easy drive.  Runs quiet, fast and cool.  Everything worked as described.  Used it to backup a few computers and then put on a shelf for a few months.  So far so good!", None!,,None,None
N82E16822242015,22-242-015,12/28/2009 2:59:51 PM,MacKenzie R.,Too good to be true.,1," Lightweight, slim, easy to plug in and install. Good price."," For over ten hours, the drive attempted to format and made no progress. I attempted several other approaches at a full format via Windows Vista and nothing worked. When I used the quick format option, I was able to access the drive. However, attempting to transfer any file, no matter the size, yielded no results. The progress bar would freeze halfway there and refuse to budge.  Attempting to cancel the file transfer would freeze my entire computer, calling for a complete manual shut down. So I tried to contact Cirago technical support. For two days I got the answering machine. After finally getting in touch with them via email, all they had to say was that the malfunction was due to either physical damage or product malfunction and that I should send it back to either newegg or the warehouse, which would take longer."," I'm getting a full refund on this product. I may have gotten a lemon, but the quality of their technical support and the overall lack of information about Cirago on the net leads me to believe Cirago might not be a very reliable product name. The price is reasonable and there are a couple of good reviews, but I'd recommend purchasing a Seagate or another brand of similar price, rather than this little nuisance.",1,1
