9SIA1K643P1589,23H-000F-00007,2/28/2017 1:13:15 PM,Patrick M.,Doesn't Work in Linux,1, None, Not supported,,None,None
9SIA6UM2GR1821,23H-000Y-00044,1/16/2017 5:42:51 PM,Samuel Y.,Too noisy to be usable,1, - Cheap," - Lack of shielding causes very noisy audio. (Tested with various combinations of hubs, extension cables, etc. Too much noise/static to be usable.)"," No matter what you're using this for (even if you need many USB sound devices), I recommend saving up for something that works properly.",None,None
9SIA0ZX1BK5009,29-270-014,3/14/2015 6:10:45 PM,Richard J.,IC-710211-S1,1, The software control center is well laid out, Card is very noisy. recordings are terrible. Scored poor on all but one RightMark benchmark.,,None,None
9SIA90839G1652,0TP-006X-00075,2/27/2016 9:30:09 PM,Ira G.,Not Useful,1, Cheap," So far its not working. Inserted it into a direct USB port on my Windows 7 Pro machine and the item would not install.  Then loaded it into a powered USB hub and it did install.  However, mic didn't work though the device did show up. Windows sound in the Playback devices seemed ok, but it was real quiet in Skype which was strange there was a difference, but its not usable.", I would not recommend this.  It was too good to be true.  Probably wil cost more to return it than to toss it in the trash. I originally got it because my sound and mic device on the motherboard just died after 7 months. Luckily I had an old Creative Sound Blaster Extigy laying around and that has been working fine.  I had to give it 1 star.  It doesn't deserve any stars.,None,None
9SIA6UM2G21439,23H-000Y-00038,11/5/2015 8:57:49 PM,81hiphop.com,Blue USB 2.0 to Mic/Speaker 5.1 Audio Sound Card Adapter 5V Plug & Play,5, great sound, won't work with laptop,,None,None
9SIA90839G1870,0TP-006X-000R4,2/6/2016 12:41:26 PM,Anonymous,"Cheap, works fine",5, Works as promised," slow shipping, but to be expected of free shipping from china", would order again,None,None
9SIA4UB1UP5695,23H-000Y-00022,12/8/2014 9:46:21 AM,Fred B.,USB Sound,5, This USB Sound Card works very well. I'm using it on a system with a Intel server motherboard (server motherboards have no built in sound card) I received this system for free. Put the USB sound card in it and gave it to someone who computer had died., none, The auto drivers in windows take about 10 min to install.,None,None
9SIA6UM3NM3028,23H-001U-00016,2/2/2017 3:36:58 PM,Anonymous,drivers,1, Decent card, Can't find drivers anywhere,,None,None
9SIA1K64147574,12K-00HP-000B6,6/27/2015 11:21:50 PM,Jeremy L.,Xonar DG,2," Great card if looking for 5.1 surround purely through an ""analog"" set-up."," Although it doesn't state any specific decoders/encoders on the box it does offer an ""optical jack"" which could confuse some buyers. This ""optical jack"" only offers PCM 2.0 as there no real-time decoders for this unit, you will have to step up to the DGX or DX.",,None,None
9SIA6ZP4SX3649,29-102-071,1/18/2016 7:22:41 PM,Nathaniel L.,Worked decently when it worked,3," multiple inputs, and out"," -could use only one in or out, cannot use two at once-have to make sure the usb port is powered in order to avoid running out of usb controller resources-failed in three months", -would not recommend due to there being much better options on the market.,None,None
9SIA90839G1607,0TP-006X-00042,12/20/2015 4:49:18 AM,Anonymous,"Kewl, itll come in handy..",5, Can now us my PC mic with my PS3., Not really any cons.., No tracking number?,None,None
9SIA1JM2CZ1236,23H-001G-00001,3/29/2016 8:54:20 AM,kyle n.,Don't buy anything from this vendor!,1, Nothing., The product didn't work so i went to the vendor site and none of the support links work. i emailed them and they said they were worried about other chinese companies stealing and copying their products so they haven't updated their site in 2 years.  Run in the opposite direction., Would not recommend this vendor for any products.,None,None
