9SIA9F94KY3819,2YM-000N-00063,11/24/2016 4:23:38 AM,Anonymous,Feels like good quality,5, the plastic is thick and doesn't kink easily. I'll post more info after I build the loop and it's been running for a couple of months., none so far., bought way more then I needed.,None,None
9SIA9F93H45719,2YM-0007-00066,11/20/2016 3:04:16 PM,Michael W.,"More than meets the eye, ModMyMods quality reseller",5," Was not expecting the full copper lining fairly clean polish level (same for curved swivel barb)I bought it thinking maybe I overpaid for just barb, it's not just a barb, it's a part of your cooling solution.", None,,None,None
9SIA9F94155081,2YM-0007-000Y5,1/2/2017 5:18:13 PM,Jordan L.,Rotary joints leaked,1, Each I purchased weighs as much as a light duty paperweight should., I ordered two of these.  Both of them leaked at the rotary joint wasting hours of my time.,,None,None
9SIA9F94KY3825,2YM-0007-00138,10/7/2016 9:59:42 PM,Kevin C.,"Works Great with 1/2"" ID tubing",5," Works, Very snug and shiny", none, Should have bought a case of em,None,None
9SIA9F93H45743,2YM-0008-00017,12/5/2015 8:22:00 AM,michael j.,what is this thing?,2, its a funnel.," Its so small its not even worth using as a funnel. very misleading picture you would think you are getting a almost full size funnel, guess again the circumference of this is smaller than a soda can."," i dont write reviews, i wrote one for this.",0,1
9SIA9F93H45726,2YM-0008-00010,11/8/2016 5:56:08 AM,Michael F.,Beautiful,5," Well made, very strong. Has holes enough for 8 LEDs.", A little expensive for what is basically a clear fan frame without the fan.," Great for decoupling fans from filters, rads & heat sinks. If you install UV LEDs, and use it with a UV fan. the fan will light up nicely",None,None
9SIA9F93K64268,2YM-0007-000A5,11/20/2016 3:31:36 PM,Michael W.,Made two things one,5, Was like magic except it just used threads, Did not include wining lottery numbers engraved inside,,None,None
9SIA9AB4S54105,2YM-000S-000K4,10/2/2016 4:23:36 PM,Bryan S.,Bright,5, -These things are cool. If you get them large enough you can clean up several wires by wrapping this around them.-Really modernized the look of the inside of my PC., -No big deal but they tangle around themselves pretty easily while you're trying to apply them.-A little more pink than red but not very noticable., If you're looking to add a creative and unique look these are neat.,None,None
9SIA9AB4S54161,2YM-000S-000P6,2/6/2017 2:14:38 PM,CHRISTOPHER F.,Elbow grease not included,3, Keeps the shape of the tubing well when bending, Not user friendlyDid not fit well with PrimoChill tubing it is intended for," This proved to be the most difficult part of creating my custom rigid tube water loop. I ordered this insert with PrimoChill 1/2 OD 3/8 ID rigid tubing. Manufacturers descriptions claim this is compatible and as they are both made by the same company, I believed them. When I tried to use this product, that was not the case. Even with a lubricant such as vegetable oil, inserting this into the tubing required a lot of effort. If you plan on using this product, I would advise using sandpaper and gently sanding down the surface and using soapy water or another lubricant as well. Always clean your tubing after doing this before installing in your loop.",None,None
9SIA9F94670659,2YM-0007-000Z4,10/13/2016 6:59:20 AM,Kinan A.,Terrible fittings,1, Mod My Modes returned them for a refund - at my expense though, Tubes would pull out with minimal pressure after being properly installed. Worst fittings I've used in a while. Get EK or Thermaltake fittings instead.,,None,None
9SIA9F93H45715,2YM-0007-00063,1/5/2017 6:38:27 PM,Anonymous,Warped,1, Has a ton of holes so easy to install liquid pump. This is exactly what I needed to extend my pump off my fan/radiator.....but," I'm currently struggling to get this bolted onto my 120mm fan. The holes for the fans are exactly in the right spots, but the actual whole piece is warped/twisted. You can see a huge wobble in it by sitting it on a flat table.I have no idea how this passed inspection, only thing I can think of is that there was no inspection before they shipped it.", TLDR: I do not recommend,None,None
