_id,ltable_ASIN,rtable_NID,ltable_NAME,ltable_INFO,rtable_NAME,rtable_INFO,label
90,B000CF0ZXK,9SIA4RE4VX3477,sound blaster audigy se varpak,7.5 x 5 x 1 inches 3.8 ounces 7 ounces currently  item can be shipped only within the u.s. and to apo/fpo addresses. for apo/fpo shipments  please check with the manufacturer regarding warranty and support issues. this item is not eligible for international shipping. b000cf0zxk 30sb057000000 5998-01-558-3005 3.6 out of 5 stars november 30  2005 none none,refurbished  creative sound blaster audigy se 7.1 channels 24-bit 96khz pci interface sound card,sound blaster audigy se,1
254,B001IEXU68,9SIA8U24R07013,western digital 1 tb re3 sata 3 gb/s 7200 rpm 32 mb cache bulk/oem enterprise hard drive - wd1002fbys,5.8 x 4 x 1 inches 1.1 pounds 1.6 pounds     item can be shipped within u.s. this item is not eligible for international shipping. b001iexu68 wd1002fbys 7025-01-584-3207 7025-01-578-8937 4.0 out of 5 stars september 14  2004 none none,"refurbished  wd re3 wd1002fbys 1tb 7200 rpm 32mb cache sata 3.0gb/s 3.5"" internal hard drive  certified by dell  bare drive",wd1002fbys,1
283,B001X5DE0Y,9SIAA4T54J9603,creative sound blaster live digital 5.1 pci sound card + driver cd,creative labs b001x5de0y 1.0 out of 5 stars march 18  2009 none none,refurbished  creative sound blaster live 5.1 digital sb0220 pci sound card,,0
445,B00EGSGDXK,N82E16822136979,western digital wd2500aakx caviar blue 250gb 7200 rpm 16mb cache sata 6.0gb/s 3.5 internal hard drive,8 x 6 x 4 inches 1 pounds 1 pounds     wd b00egsgdxk wd2500aakx - 9 4.9 out of 5 stars august 11  2013 none none,"refurbished  western digital 7200 rpm 16mb cache sata 6.0gb/s 3.5"" internal hard drive  â€“ manufacturer refurbished",15vfhdd0006,0
461,B00MFG58N6,9SIA0AJ5951725,brother mfcl2700dw compact laser all-in one printer with wireless networking and duplex printing,15.7 x 16.1 x 12.5 inches 24.9 pounds 30.2 pounds     item can be shipped within u.s. this item can be shipped to select countries outside of the u.s. b00mfg58n6 mfcl2700dw 4.1 out of 5 stars august 1  2014 none none,brother mfc-8950dw high speed all-in-one laser printer with wireless networking and advanced duplex printing,mfc-8950dw,0
15,B000065BPB,9SIA1T50NZ6499,sennheiser hd 280 pro headphones  old model ,7 x 4 x 8 inches 1 pounds 1.6 pounds     sennheiser b000065bpb made in usa or imported 004974 4.3 out of 5 stars october 2  2001 none none,sennheiser hd280 pro around the ear dj headphones,hd 280 pro,1
316,B002VAD716,9SIA19P3SE0988,asus xonar ds 7.1 channels pci interface sound card,10 x 6.8 x 3 inches 13.8 ounces 12.8 ounces b002vad716 xonar_ds 3.9 out of 5 stars november 2  2009 none none,asus xonar dx 7.1 channels pci express x1 interface sound card,xonar dx,0
489,B00WWPODTA,9SIAAEE3VN6643,"seagate st3000dm001 barracuda 3tb 7200 rpm 64mb cache sata 6.0gb/s 3.5"" internal hard drive  bare drive  bare drive",4 x 5.8 x 1 inches 1.4 pounds 1.6 pounds     seagate b00wwpodta st3000dm001 4.2 out of 5 stars may 11  2015 none none,"seagate barracuda 7200.10 st3160815as 160gb 7200 rpm 8mb cache sata 3.0gb/s 3.5"" hard drive bare drive",st3160815as,0
159,B000QRV3NU,9SIA4RE4ZG9786,creative expresscard sound blaster x-fi xtreme audio notebook-70sb071000000,5.5 x 1.4 x 6.3 inches 6.4 ounces 7.2 ounces item can be shipped within u.s. this item is not eligible for international shipping. b000qrv3nu 70sb071000000 3.0 out of 5 stars may 13  2007 none none,refurbished  creative sound blaster x-fi xtreme audio 7.1 channels 24-bit 96khz pci interface sound card,sound blaster x-fi xtreme audio,0
153,B000Q84G5Q,9SIA5AD45R8528,western digital 250 gb caviar blue sata 3 gb/s 7200 rpm 8 mb cache bulk/oem desktop hard drive - wd2500aajs,5.8 x 4 x 1 inches 1.3 pounds 1.3 pounds     b000q84g5q wd2500aajssp 7025-01-607-3535 4.2 out of 5 stars may 4  2007 none none,"western digital blue wd2500aajs 250gb 7200 rpm 8mb cache sata 3.0gb/s 3.5"" internal hard drive bare drive",wd2500aajs,1
