_id,ltable_ASIN,rtable_NID,ltable_NAME,ltable_INFO,rtable_NAME,rtable_INFO,label
0,B00000J579,9SIA9AX4SS5695,creative labs sound blaster 16 pci sound card,10.9 x 7.6 x 2.9 inches 12.8 ounces 12.8 ounces b00000j579 sb4740 3.6 out of 5 stars june 1  1999 none none,refurbished  creative labs sound blaster live! 5.1 pci sb0200 sound card 0r533,sb0200,0
1,B00004Z7EF,9SIA9AX4SS5695,creative labs sound blaster pci 512  sound card,14.4 x 3 x 9.2 inches 1.1 pounds 1.1 pounds item can be shipped within u.s. this item is not eligible for international shipping. b00004z7ef sb4790 2.7 out of 5 stars october 11  2000 none none,refurbished  creative labs sound blaster live! 5.1 pci sb0200 sound card 0r533,sb0200,0
2,B000059ZZ2,9SIA9AX4SS5695,creative labs sound blaster live! mp3+ 5.1,14.8 x 3 x 10.2 inches 3 pounds 1.8 pounds b000059zz2 70sb006003002 4.0 out of 5 stars yes september 4  1999 none none,refurbished  creative labs sound blaster live! 5.1 pci sb0200 sound card 0r533,sb0200,0
3,B000059ZZ4,9SIA9AX4SS5695,creative labs sound blaster live! x-gamer 5.1,14.7 x 9.5 x 2.9 inches 1.6 pounds 1.6 pounds     b000059zz4 70sb006003001 4.0 out of 5 stars yes september 4  1999 none none,refurbished  creative labs sound blaster live! 5.1 pci sb0200 sound card 0r533,sb0200,0
4,B00005ARK3,9SIA0AJ0NA7913,cisco-linksys befw11s4 wireless-b cable/dsl router,8.2 x 7.2 x 2.1 inches 2.5 pounds 2.5 pounds b00005ark3 befw11s4 3.4 out of 5 stars may 2  2006 none none,linksys befw11s4 wireless router ieee 802.3/3u  ieee 802.11b,befw11s4,1
5,B00005LLY4,9SIA5AD4YZ4354,western digital wd800bb 80gb udma/100 7200rpm 2mb ide hard drive,5.8 x 4 x 1 inches 1.3 pounds 1.3 pounds     western digital b00005lly4 imported  thailand  wd800bb 7025-01-499-4377 7025-01-502-8221 4.0 out of 5 stars january 17  2006 none none,"refurbished  western digital blue wd800bb 80gb 7200 rpm 2mb cache ide ultra ata100 / ata-6 3.5"" hard drive bare drive",wd800bb,1
6,B00005LLY4,9SIAAEE3XR1053,western digital wd800bb 80gb udma/100 7200rpm 2mb ide hard drive,5.8 x 4 x 1 inches 1.3 pounds 1.3 pounds     western digital b00005lly4 imported  thailand  wd800bb 7025-01-499-4377 7025-01-502-8221 4.0 out of 5 stars january 17  2006 none none,"western digital caviar wd800bb 80gb 7200 rpm 2mb cache ide ultra ata100 / ata-6 3.5"" internal hard drive bare drive",wd800bb,1
7,B00005QBU9,9SIA0AJ17S4938,sony mdr-v150 monitor series headphones,9.4 x 6.9 x 3.1 inches 7.2 ounces 9.1 ounces     sony b00005qbu9 item can be shipped within u.s. this item can be shipped to select countries outside of the u.s. imported  philippines  mdrv150 1 lithium ion batteries required. 4.1 out of 5 stars october 2  2001 none none,sony - studio monitor series headphones  mdr-xd100 ,mdr-xd100,0
8,B00005QBU9,9SIA0AJ2VY0817,sony mdr-v150 monitor series headphones,9.4 x 6.9 x 3.1 inches 7.2 ounces 9.1 ounces     sony b00005qbu9 item can be shipped within u.s. this item can be shipped to select countries outside of the u.s. imported  philippines  mdrv150 1 lithium ion batteries required. 4.1 out of 5 stars october 2  2001 none none,sony - studio monitor series headphones  mdr-xd200 ,mdr-xd200,0
9,B00005QBUU,9SIA0AJ0ZB3820,sony mdr-e818lp fontopia ear-bud headphones with acoustic twin turbo circuit  discontinued by manufacturer ,3.9 x 10 x 3.9 inches 4 ounces 1.4 ounces     sony b00005qbuu item can be shipped within u.s. this item is not eligible for international shipping. mdre818lp 1 lithium ion batteries required. 3.7 out of 5 stars yes october 2  2001 none none,sony - bud style headphones  mdr-e818lp ,mdr-e818lp,1
