ltable_ASIN,rtable_NID
B00005ARK3,9SIA0AJ0NA7913
B00005LLY4,9SIA5AD4YZ4354
B00005LLY4,9SIAAEE3XR1053
B00005QBUU,9SIA0AJ0ZB3820
B00005TQ08,9SIA4RE38E5766
B00006HNZ1,9SIA67S2MJ6064
B00007056H,9SIA7HN2M96288
B000070G4C,9SIA67S2MJ6064
B00008SCFL,9SIA0AJ3598363
B000093S8Z,9SIA5AD4YZ4354
B000093S8Z,9SIAAEE3XR1053
B00009RDIF,9SIA76D4RS9354
B0000AKGPB,9SIA9AX4SS5695
B0000CD0BU,9SIA4RE4VX3655
B0000CG4DI,9SIA4RE4XA9790
B0001D3K8A,9SIA0AJ3ZC0154
B0002F8578,9SIAAEE48J6992
B0002IP2TY,9SIA4RE54V1825
B0006B486K,9SIA7HN2M98202
B0007N55NM,9SIA0AJ17S4938
B00080DSEM,9SIA1N82853897
B00081S0YY,9SIA6ZP49F8502
B000DT7ZJM,9SIA4RE54X1870
B000F2BP7U,N82E16826242002
B000FQ2JLW,N82E16820148086
B000GOUE7O,9SIA4RE2SX1293
B000HJ98M0,9SIA85V3R95237
B000I4UQFC,9SIA7XZ39J1103
B000IJY8DS,N82E16812189136
B000JJR8I4,N82E16820134192
B000JREMTO,9SIA0FU42J2262
B000KA7PD0,9SIA4RE59X5793
B000LRMR26,9SIA6393S22280
B000MX7Z0S,9SIA0AJ12J7202
B000MX7Z12,9SIA0AJ12J7202
B000MX7Z1C,9SIA0AJ12J7202
B000MX7Z1M,9SIA0AJ12J7202
B000MX7Z1W,9SIA0AJ12J7202
B000MX7Z26,9SIA0AJ12J7202
B000OCUS7Y,9SIA45H22W2054
B000PCF7A6,9SIA0AJ12J7202
B000PEHZ9K,9SIAAEE48J6992
B000PMGZDO,9SIA4RE46N7167
B000Q84G5Q,9SIA5AD45R8528
B000Q85WIQ,9SIAAEE4WT8534
B000Q85WOK,9SIA5AD3SC2092
B000QD7B6W,9SIA0AJ30T2979
B000TGK05A,9SIAAEE4U71198
B000UCELXK,9SIAAEE3VN6643
B000VMSZN6,9SIAAEE48J6992
B000VRZ7PA,9SIAAEE3XE0748
B000VZ40CI,9SIA5AD3SC2092
B000WJCM9G,9SIA7M048J6656
B0010LTSHY,9SIA00Y0Z49606
B0010Z1W06,9SIA0AJ3396501
B00116SLYY,9SIA6393SE2172
B00116VHMC,9SIAAEE4M23216
B0011A4UZE,9SIA4RE46N7250
B0012WDMNC,9SIA6393S85425
B0012Y0QT8,N82E16820134636
B001342KM8,9SIA6504T18674
B0013LO1GE,9SIA5AD2YK8509
B00153AMG8,N82E16817148035
B0015AFWD4,9SIA8UT5AW3674
B0016HLHQW,9SIA85V3SP4988
B00180F402,9SIA8R64XX8426
B0019L0X38,9SIA0AJ2YT4647
B001B99I34,9SIA4T01GT5600
B001BS1ONW,9SIAAEE4M22681
B001CN9K6E,9SIA0AJ0TW9899
B001D86S3G,9SIA6393S85426
B001E06VVM,9SIA85V4TW1125
B001EZMEZO,9SIA4H81E87031
B001G45XLU,9SIA5AD2YK8509
B001GMGN1G,9SIABB75BM2866
B001H5Z0XE,9SIAAEE5811779
B001IEXU68,9SIA67S2154813
B001IEXU68,9SIA8U24R07013
B001JQMIAY,9SIA4RE4TE0431
B001JQMIAY,9SIA4RE4TE0435
B001KARQXI,9SIA6502RH9117
B001LGUA3E,9SIAAEE5811779
B001MQBQSQ,9SIAAEE4M09794
B001MTE32O,9SIA73M47H2136
B001NXDBI6,9SIA4RE3FR9959
B001OVBXIC,9SIAAEE4M23271
B001QIUB5E,9SIA1UH3Z96675
B001QIUB6I,9SIA1N83V45288
B001QSD5GQ,N82E16819117397
B001RB21IK,9SIA65053D8496
B001TGNGHS,9SIA67S2154813
B001TGNGHS,9SIA8U24R07013
B001V738V4,N82E16820145599
B00264C286,9SIA5AD1P56630
B0027IGKV6,9SIAAEE3WF4427
B0027P9C9G,N82E16820145241
B0028Y4CY6,9SIABS64TK5868
B002A6LOI4,9SIAAEE4M10762
B002AIS97Q,9SIA4RE2YH7102
B002B3YCQM,9SIA4RE2CY9895
B002C7489S,9SIA4RR1X92549
B002EL4MXY,9SIA4HG1K49156
B002FYL7PG,9SIA7HN5AC8618
B002HWJT1A,9SIA4M54TG7086
B002KQ5KDY,9SIAAEE4M23192
B002KQ5KE8,9SIABRA4T48184
B002LZ1FPG,N82E16820145258
B002OB49SC,9SIA0AJ1BU7722
B002P3KO7O,9SIABZ053E9630
B002Q2M8KK,9SIA2F84D69453
B002Q4U5DK,9SIA4RE2X62744
B002Q4U5DK,9SIA9JN41C0914
B002QQ8EKO,9SIA5E63E95964
B002RWJHBM,9SIAAEE3ZZ7628
B002SAJCYU,N82E16823175012
B002T3RJPA,N82E16828115560
B002T3RJQ4,9SIA6AU4SX4255
B002VJL0OS,9SIA5CJ1NG1630
B002WBX7TQ,N82E16833704037
B002YUF8ZG,N82E16820145281
B002ZHJ4MQ,9SIAC335988661
B00307RLZC,9SIA0AJ3T10293
B0030DL3FU,9SIAAEE4M23185
B0030DN1GO,9SIAAEE4M23272
B0031M9QXQ,9SIAAEE4M23190
B0031M9QZ4,9SIAAEE5811738
B0036TGGJQ,9SIA0AJ24N0940
B0036TGGVO,9SIA9JJ48C0720
B0036TGGVO,9SIACNF57Y3380
B0036TGGW8,9SIA0AJ2TS0303
B0036TGGW8,9SIA6TP2P34917
B0036VO632,9SIA0AJ2TH0534
B0036Z6GH2,9SIAAEE5811739
B00372YKMM,9SIA0AJ2SN4291
B0037HPZAI,9SIABB75BM2866
B00387G6R8,N82E16833320038
B003AVN6C0,N82E16826140057
B003CKYKME,9SIA24G28N2645
B003EO328Q,9SIA1N834S0399
B003FW9T0M,9SIA67S21C0634
B003HIXGVW,9SIAAEE4M22680
B003INIZMG,N82E16826146014
B003L62T86,N82E16826104379
B003LD07LU,9SIAAEE4M10770
B003N8GVUY,N82E16820145315
B003NR57BY,9SIA13X4B15685
B003SANWI6,9SIA9SC4NS9855
B003STDQQU,9SIA4P03GA4967
B003TLY9UO,9SIA3912DB1809
B003TWO8JA,9SIA9SC4RS1207
B003VANRAQ,9SIAAEE4M23184
B003VITYP0,N82E16835106152
B003XEETFW,9SIA4RE4TZ2154
B003Y5RYNY,N82E16833704050
B003YKX6KO,N82E16882203100
B003ZJ5B4I,9SIA4RE4TS1023
B00419ZUPQ,9SIA0AJ5951710
B0041OSAZI,9SIA0AJ1T71105
B0041OSQBG,9SIA6AH2YP7156
B0042A7CAA,N82E16820145324
B0042AG9V8,9SIAAEE4BY2475
B00434UCDE,N82E16811146069
B004433XCQ,9SIA19P4AN7491
B0044YG27I,9SIA1K64284992
B00450DVDY,9SIA9JJ3H17350
B0045JRK1O,9SIA5AD45R8528
B00461K1QW,9SIA9DE3SA7183
B00461LT6S,9SIA9HJ3JX9155
B0049YQVHE,N82E16833320062
B004A9XB6W,N82E16811147023
