,ltable_ASIN,rtable_NID,predicted
0,B00000J579,9SIA9AX4SS5695,0
1,B00004Z7EF,9SIA9AX4SS5695,0
2,B000059ZZ2,9SIA9AX4SS5695,0
3,B000059ZZ4,9SIA9AX4SS5695,0
4,B00005ARK3,9SIA0AJ0NA7913,1
5,B00005LLY4,9SIA5AD4YZ4354,1
6,B00005LLY4,9SIAAEE3XR1053,1
7,B00005QBU9,9SIA0AJ17S4938,0
8,B00005QBU9,9SIA0AJ2VY0817,0
9,B00005QBUU,9SIA0AJ0ZB3820,1
10,B00005TQ08,9SIA1N82853897,0
11,B00005TQ08,9SIA4RE31X1468,0
12,B00005TQ08,9SIA4RE38E5766,1
13,B00005TQ08,9SIA9JN3W22389,0
14,B00005UK8V,9SIA9AX4SS5695,0
15,B000065BPB,9SIA1T50NZ6499,0
16,B00006HNZ1,9SIA67S2MJ6064,1
17,B00007056H,9SIA7HN2M96288,1
18,B000070G4C,9SIA67S2MJ6064,1
19,B00008AOK7,9SIA0AJ3T48865,0
20,B00008SCFL,9SIA0AJ3598363,1
21,B00008XOKV,9SIA0AJ2KT8040,0
22,B00008XOKV,9SIA1N83Z86921,0
23,B000093S8Z,9SIA5AD4YZ4354,1
24,B000093S8Z,9SIAAEE3XR1053,1
25,B000094ADY,9SIA2F823C2974,0
26,B000094ADY,9SIA4P05AZ3550,0
27,B000094ADY,N82E16828006536,0
28,B000094ADY,N82E16828006537,0
29,B000094ADY,N82E16828106829,0
30,B00009APUB,9SIA2F823C2974,0
31,B00009APUB,9SIA4P05AZ3550,0
32,B00009APUB,N82E16828006536,0
33,B00009APUB,N82E16828006537,0
34,B00009APUB,N82E16828106829,0
35,B00009ETM8,9SIA2F823C2974,0
36,B00009ETM8,9SIA4P05AZ3550,0
37,B00009ETM8,N82E16828006536,0
38,B00009ETM8,N82E16828006537,0
39,B00009ETM8,N82E16828106829,0
40,B00009RDIF,9SIA76D4RS9354,1
41,B0000AKA91,9SIA6TP2P34917,0
42,B0000AKGPB,9SIA6UM3NM3028,0
43,B0000AKGPB,9SIA9AX4SS5695,1
44,B0000CD0BU,9SIA4RE4VX3655,1
45,B0000CD0BU,9SIA4RE4XA9790,0
46,B0000CG4DI,9SIA4RE4XA9790,1
47,B00018MSNI,9SIA4P01RR2800,0
48,B0001D3K8A,9SIA0AJ3ZC0154,1
49,B0001WW3G6,9SIA0AJ2KT8040,0
50,B0001WW3G6,9SIA1N83Z86921,0
51,B00025O7FC,9SIA1N82853897,0
52,B00025O7FC,9SIA4RE3038710,0
53,B00025O7FC,9SIA4RE31X1468,0
54,B00025O7FC,9SIA9JN3W22389,0
55,B0002F8578,9SIAAEE48J6992,1
56,B0002IP2TY,9SIA4RE54V1825,1
57,B0002UECSO,9SIA0AJ2591738,0
58,B0002UECSO,9SIA0AJ5951726,0
59,B0002UECSO,9SIABB74AK2833,0
60,B0002ZH6QY,9SIA4RE4XA9690,0
61,B00064AW4Y,9SIA9AX4SS5695,0
62,B0006B486K,9SIA7HN2M98202,1
63,B0006HDF6I,9SIA1K02B68802,0
64,B0007N55NM,9SIA0AJ17S4938,1
65,B0007WDIX2,9SIA24G28N3283,0
66,B0007WDIX2,9SIA91J43J0470,0
67,B0007XJSQC,9SIA3JX15Y3273,0
68,B0007Z1M50,9SIAAWS59Z5376,0
69,B00080DSEM,9SIA1N82853897,1
70,B00080DSEM,9SIA4RE53D9767,0
71,B00081S0YY,9SIA6ZP49F8502,1
72,B0008EUE7M,9SIA0AJ2MX3844,0
73,B0008EUE7M,9SIA0AJ2RS2704,0
74,B0008EUE7M,9SIA0AJ2TP4092,0
75,B0008EUE7M,9SIA0AJ2TV1555,0
76,B0008EUE7M,9SIA9JA4MJ7634,0
77,B0008EUE7M,9SIA9JJ3N85842,0
78,B0008EUE7M,9SIA9JJ3X36894,0
79,B0009EK5NE,9SIA0AJ3396512,0
80,B0009KMGQW,9SIA2F823C2974,0
81,B0009KMGQW,9SIA4P05AZ3550,0
82,B0009KMGQW,N82E16828006536,0
83,B0009KMGQW,N82E16828006537,0
84,B0009KMGQW,N82E16828106829,0
85,B0009KMS9C,9SIA3JX15Y3273,0
86,B000A4AVIW,9SIA1N83TV6236,0
87,B000A6NV0U,9SIA4RE31X1468,0
88,B000A6NV0U,9SIA9JN3W22389,0
89,B000CF0ZXK,9SIA4RE4VN5398,0
90,B000CF0ZXK,9SIA4RE4VX3477,0
91,B000CFSL4A,9SIA0ZX2C37523,0
92,B000DT7ZJM,9SIA4RE54X1870,1
93,B000EF3D64,9SIA4RE4VN5398,0
94,B000EF3D64,9SIA4RE4VX3477,0
95,B000EV6H6G,9SIA4RE4VN5398,0
96,B000EV6H6G,9SIA4RE4VX3477,0
97,B000F2BP7U,N82E16826242002,1
98,B000FQ2JLW,N82E16820148086,1
99,B000GOUE7O,9SIA4RE2SX1293,1
100,B000GQMHBI,9SIA2F81NH2708,0
101,B000GQMHBI,9SIA2F84D69348,0
102,B000HCT12O,9SIA7XZ2RU3073,0
103,B000HCT12O,9SIA7XZ3DT1739,0
104,B000HJ98M0,9SIA85V3R95096,0
105,B000HJ98M0,9SIA85V3R95237,1
106,B000HJ98M0,9SIA85V3R95619,0
107,B000I20IHA,9SIA4RE4T20421,0
108,B000I20IHA,9SIA9JN55R0093,0
109,B000I20IHA,9SIA9K85941822,0
110,B000I20IHA,9SIA9KW4F57333,0
111,B000I4UQFC,9SIA4RE59X5793,0
112,B000I4UQFC,9SIA7XZ3987075,0
113,B000I4UQFC,9SIA7XZ39J1103,1
114,B000I5JHB0,9SIA0AJ35P3112,0
115,B000I5JHB0,9SIA2F81NH2708,0
116,B000I5JHB0,9SIA2F84D68892,0
117,B000I5JHB0,9SIA2F84D69348,0
118,B000IJY8DS,N82E16812189136,1
119,B000IZAN4K,9SIA4RE4VX3594,0
120,B000IZAN4K,9SIA4RE4VX9071,0
121,B000IZC0GO,9SIA4RE4VW8116,0
122,B000IZC0GO,9SIA4RE4VX3594,0
123,B000IZC0GO,9SIA4RE4VX5064,0
124,B000IZC0GO,9SIA4RE4XW4450,0
125,B000IZC0GO,9SIA4RE4ZG9786,0
126,B000J1F1BI,9SIA4RE4VX3594,0
127,B000J1F1BI,N82E16829102032,0
128,B000JJR8I4,N82E16820134192,1
129,B000JREMTO,9SIA0FU42J2262,1
130,B000KA7PD0,9SIA4RE59X5793,1
131,B000KA7PD0,9SIA7XZ3PW4402,0
132,B000LRMR26,9SIA6393S22280,1
133,B000MKZU08,9SIA4RE4VX3594,0
134,B000MNA082,9SIA6393S85148,0
135,B000MNA082,9SIABGC4YW1727,0
136,B000MX7Z0S,9SIA0AJ12J7202,1
137,B000MX7Z12,9SIA0AJ12J7202,1
138,B000MX7Z1C,9SIA0AJ12J7202,1
139,B000MX7Z1M,9SIA0AJ12J7202,1
140,B000MX7Z1W,9SIA0AJ12J7202,1
141,B000MX7Z26,9SIA0AJ12J7202,1
142,B000N1N2ZG,9SIA4P05727179,0
143,B000N1N2ZG,N82E16828116433,0
144,B000N1N2ZG,N82E16828118696,0
145,B000OCUS7Y,9SIA45H22W1786,0
146,B000OCUS7Y,9SIA45H22W2054,1
147,B000OCUS7Y,9SIA85V3R95057,0
148,B000OCUS7Y,9SIA85V3R95096,0
149,B000OCUS7Y,9SIA85V3R95619,0
150,B000OCUS7Y,9SIA85V3SP4988,0
151,B000ODOKV8,9SIA85V46C6137,0
152,B000PCF7A6,9SIA0AJ12J7202,1
153,B000PEHZ9K,9SIAAEE48J6992,1
154,B000PMGZDO,9SIA4RE46N7167,1
155,B000Q78M7K,9SIAA4T54J9603,0
156,B000Q84G5Q,9SIA5AD45R8528,1
157,B000Q85WIQ,9SIAAEE4WT8534,1
158,B000Q85WOK,9SIA5AD3SC2092,1
159,B000QD7B6W,9SIA0AJ30T2979,1
160,B000QRV3NU,9SIA4RE4VW8116,0
161,B000QRV3NU,9SIA4RE4VX3594,0
162,B000QRV3NU,9SIA4RE4VX5064,0
163,B000QRV3NU,9SIA4RE4XW4450,0
164,B000QRV3NU,9SIA4RE4ZG9786,0
165,B000TGK05A,9SIAAEE4U71198,1
166,B000UCELXK,9SIA5AD1P56630,0
167,B000UCELXK,9SIA5AD5C39429,0
168,B000UCELXK,9SIAAEE3VN6643,1
169,B000UCELXK,9SIAAEE3WC4137,0
170,B000UCELXK,9SIAAEE3ZZ6289,0
171,B000UCELXK,9SIAAEE3ZZ7559,0
172,B000UCELXK,9SIAAEE43Z7184,0
173,B000UCELXK,9SIAAEE4BJ8204,0
174,B000UCELXK,9SIAAEE4BK7802,0
175,B000UCELXK,9SIAAEE4BR1346,0
176,B000UCELXK,9SIAAEE4TK3654,0
177,B000UCELXK,9SIAAEE4TK4839,0
178,B000UCELXK,9SIABS64TJ6874,0
179,B000UCELXK,9SIABS64WT5373,0
180,B000UCELXK,9SIABZ053E9438,0
181,B000UCELXK,9SIABZ053E9576,0
182,B000UCELXK,N82E16822148261,0
183,B000VMSZN6,9SIAAEE48J6992,1
184,B000VOE466,9SIA4RE5082082,0
185,B000VOE466,9SIA4RE5087138,0
186,B000VRZ7PA,9SIAAEE3XE0748,1
187,B000VZ40CI,9SIA5AD3SC2092,1
188,B000W6IY6O,9SIABB74AK2666,0
189,B000W7PNZI,9SIA4RE4VW8116,0
190,B000W7PNZI,9SIA4RE4VX3594,0
191,B000W7PNZI,9SIA4RE4VX5064,0
192,B000W7PNZI,9SIA4RE4XW4450,0
193,B000W7PNZI,9SIA4RE4ZG9786,0
194,B000WJCM9G,9SIA7M048J6656,1
195,B000YDLNGS,9SIA6393SG1182,0
196,B000ZJZ7OA,9SIA4RE40J3521,0
197,B0010GTAWW,9SIA2F823C2974,0
198,B0010GTAWW,9SIA4P05AZ3550,0
199,B0010GTAWW,N82E16828006536,0
200,B0010GTAWW,N82E16828006537,0
201,B0010GTAWW,N82E16828106829,0
202,B0010LTSHY,9SIA00Y0Z49606,1
203,B0010Z1W06,9SIA0AJ3396501,1
204,B0010Z1W06,9SIA0AJ3T48865,0
205,B00116SLYY,9SIA6393SE2172,1
206,B00116SLZS,9SIA6393SE2172,0
207,B00116VHMC,9SIAAEE4M23216,1
208,B00117OGC4,9SIA7BP3GA1243,0
209,B0011A4UZE,9SIA4RE46N7250,1
210,B0011F19CG,9SIA4RE59X5793,0
211,B0012GK3MQ,9SIA0AJ1BU7722,0
212,B0012WDMNC,9SIA6393S85425,1
213,B0012Y0QT8,N82E16820134636,1
214,B001342KM8,9SIA6504T18674,1
215,B0013LO1GE,9SIA5AD2YK8509,1
216,B00153AMG8,N82E16817148035,1
217,B0015AFWD4,9SIA8UT5AW3674,1
218,B0016HLHQW,9SIA45H22W1786,0
219,B0016HLHQW,9SIA45H22W2054,0
220,B0016HLHQW,9SIA85V3R95057,0
221,B0016HLHQW,9SIA85V3R95096,0
222,B0016HLHQW,9SIA85V3R95619,0
223,B0016HLHQW,9SIA85V3SP4988,1
224,B0016P38WU,9SIA6393S85148,0
225,B0016P7GSM,9SIA6393S85148,0
226,B00180F402,9SIA8R64XX8426,1
227,B00180F402,N82E16812189057,0
228,B00180F402,N82E16812189129,0
229,B0019L0X38,9SIA0AJ2YT4647,1
230,B001A1PQTS,9SIA1N83Z86921,0
231,B001A1PQTS,9SIA91J43P4751,0
232,B001A1PQTS,N82E16828112550,0
233,B001B99I34,9SIA4T01GT5600,1
234,B001BS1ONW,9SIAAEE4M22681,1
235,B001BS3A3E,9SIA6UM3NM2953,0
236,B001BXS45I,9SIA1N83Z86921,0
237,B001BXS45I,9SIA91J43P4751,0
238,B001BXS45I,N82E16828112550,0
239,B001CN9K6E,9SIA0AJ0TW9899,1
240,B001D86S3G,9SIA6393S85426,1
241,B001DJ64C0,9SIA7XZ2RU3073,0
242,B001E06VVM,9SIA85V4TW1125,1
243,B001E25KDK,9SIA4RE4VX3588,0
244,B001EZMEZO,9SIA4H81E87031,1
245,B001EZMEZO,9SIA4H81E87835,0
246,B001EZMEZO,9SIA6ZP5709204,0
247,B001EZMEZO,9SIA85V3KV5702,0
248,B001F4UBT0,9SIA2F823C2974,0
249,B001F4UBT0,9SIA4P05AZ3550,0
250,B001F4UBT0,N82E16828006536,0
251,B001F4UBT0,N82E16828006537,0
252,B001F4UBT0,N82E16828106829,0
253,B001F4UCR6,9SIA1N83TV6236,0
254,B001F4WGKC,9SIA1N83TV6236,0
255,B001FBHUZG,9SIA6393SG1182,0
256,B001FEDL0G,9SIA6393S85148,0
257,B001G45XLU,9SIA5AD2YK8509,1
258,B001GMGN1G,9SIABB75BM2866,1
259,B001GQFD68,9SIA24G31E0614,0
260,B001H31B2A,9SIA4RE4ZU5124,0
261,B001H5Z0XE,9SIAAEE5811779,1
262,B001IEXU68,9SIA67S2154813,1
263,B001IEXU68,9SIA8U24R07013,1
264,B001JQMIAY,9SIA4RE4TE0431,1
265,B001JQMIAY,9SIA4RE4TE0435,1
266,B001KARQXI,9SIA6502RH9117,1
267,B001KXEICW,9SIA0AJ27Z0241,0
268,B001KXEICW,9SIA0AJ2TP5250,0
269,B001KXEICW,9SIA6AU56K5537,0
270,B001KXEICW,9SIA9JA4YH7163,0
271,B001KXEICW,N82E16828113975,0
272,B001KXEICW,N82E16828133822,0
273,B001KXEICW,N82E16828133824,0
274,B001LGUA3E,9SIAAEE5811779,1
275,B001LX4YDE,9SIA6393S85148,0
276,B001MQBQSQ,9SIAAEE4M09794,1
277,B001MTE32O,9SIA73M47H2136,1
278,B001MW92AE,9SIA6UM2GP9799,0
279,B001MW92AE,9SIA6UM3NM2767,0
280,B001MW92AE,9SIA90839G1607,0
281,B001MW92AE,9SIAASP40S1361,0
282,B001NXDBI6,9SIA4RE3FR9959,1
283,B001OVBXIC,9SIAAEE4M23271,1
284,B001QIUB5E,9SIA1UH3Z96675,1
285,B001QIUB6I,9SIA1N83V45288,1
286,B001QSD5GQ,N82E16819117397,1
287,B001RB21IK,9SIA65053D8496,1
288,B001TGNGHS,9SIA67S2154813,1
289,B001TGNGHS,9SIA8U24R07013,1
290,B001V738V4,N82E16820145599,1
291,B001V7G0Q4,9SIA24G28N2645,0
292,B001X5DE0Y,9SIAA4T54J9603,0
293,B001XM9BV8,9SIA0AJ3T48865,0
294,B001XUQP9G,9SIA9B54988403,0
295,B001XUQP9G,9SIA9JA4KZ2360,0
296,B001XUQP9G,9SIA9JA4YH7163,0
297,B00264C286,9SIA5AD1P56630,1
298,B00264GYMG,9SIAC354VG4278,0
299,B00264GYMG,9SIAC354VG4291,0
300,B00265L1S2,9SIA67038G2473,0
301,B0027IGKV6,9SIAAEE3WF4427,1
302,B0027P9C9G,N82E16820145241,1
303,B0028Y4CY6,9SIABS64TK5868,1
304,B00292OW1U,9SIABB74AK2666,0
305,B002A6LOI4,9SIAAEE4M10762,1
306,B002AIS97Q,9SIA4RE2YH7102,1
307,B002B3V62U,9SIA6393T04906,0
