asin,name,brand,category,price,review_count,info
B006YG8X9Y,Crucial 8GB Single DDR3L 1600 MT/s (PC3L-12800) SODIMM 204-Pin Laptop Memory (CT102464BF160B),Crucial,172500,$53.88,5413,"B006YG8X9Y 4.7 out of 5 stars 0.6 ounces ( ) November 1, 2004 8 GB DDR3L 1600 1600 MHz Crucial USB32DVIPRO CT102464BF160B 0.6 ounces 2.9 x 1.2 x 0.1 inches 2.87 x 1.18 x 0.08 inches 1 DDR3 SDRAM 8 GB 1.35 volts"
B008LTBJFW,Crucial 16GB Kit (2 x 8GB) DDR3L-1600 1600 MT/S SODIMM Memory for Mac (CT2K8G3S160BM),Crucial,172500,$102.89,5224,"B008LTBJFW 4.8 out of 5 stars 0.8 ounces ( ) July 12, 2012 8 GB DDR3 1600 MHz Crucial CT2K8G3S160BM CA-107PV2564 0.8 ounces 7 x 4.5 x 5 inches 7 x 4.49 x 5 inches DDR3 SDRAM 1.4 volts"
B007B5S52C,Crucial 16GB Kit (2 X 8GB) 1600 MT/s (PC3L-12800) 204-Pin SODIMM DDR3L Memory (CT2KIT102464BF160B),Crucial,172500,$103.80,1435,"B007B5S52C 4.8 out of 5 stars 1.4 ounces ( ) February 20, 2012 16 GB SDRAM 1600 MHz Crucial CT2KIT102464BF160B CT2KIT102464BF160B 1.4 ounces 1.2 x 0.4 x 2.7 inches 1.18 x 0.38 x 2.66 inches green DDR3 SDRAM 1.35 volts"
B0134EW7G8,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),Corsair,172500,$109.99,928,"B0134EW7G8 4.6 out of 5 stars 2.9 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. July 20, 2015 16 GB DDR 400 3000 MHz Corsair CMK16GX4M2B3000C15 2.9 ounces 6.1 x 0.4 x 3.5 inches 6.1 x 0.4 x 3.5 inches Vengeance LPX Black DDR4 SDRAM 1.35 volts"
B00J8E8Y5C,Kingston HyperX FURY 16GB Kit (2x8GB) 1866MHz DDR3 CL10 DIMM - Black (HX318C10FBK2/16),None,172500,$106.99,4341,"B00J8E8Y5C 4.7 out of 5 stars 3.5 ounces ( ) Item can be shipped within U.S. This item can be shipped to select countries outside of the U.S. September 5, 2013 16384 MB DDR3 1800 1866 MHz HyperX KINGSTON TECHNOLOGY CORP. HX318C10FBK2/16 2.4 ounces 13 x 4.5 x 0.1 inches 13 x 4.5 x 0.1 inches Black DDR3 SDRAM 1.5 volts"
B008LTBJFM,Crucial 8GB Kit (4GBx2) DDR3/DDR3L 1066 MT/s (PC3 8500) SODIMM 204 Pin Mac Memory - CT2K4G3S1067M,Crucial,172500,$72.99,3325,"B008LTBJFM 4.8 out of 5 stars 2.1 ounces ( ) July 12, 2012 4 GB DDR3 1066 MHz Crucial CT2K4G3S1067M CT2K4G3S1067M 1.6 ounces 7 x 5 x 0.5 inches 7 x 5 x 0.5 inches DDR3 SDRAM 1.5 volts"
B008LTBJK2,Crucial 16GB Kit (8GBx2) DDR3L 1333 MT/s (PC3-10600) CL9 204-Pin SODIMM Memory For Mac CT2K8G3S1339M / CT2C8G3S1339M,Crucial,172500,$105.99,1771,"B008LTBJK2 4.7 out of 5 stars 1 ounces ( ) July 12, 2012 8 GB DDR3 1333 MHz Crucial CT2K8G3S1339M CT2K8G3S1339M 1 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches DDR3 SDRAM 1.5 volts"
B00UFBZOVE,Ballistix Sport LT 8GB Single DDR4 2400 MT/s (PC4-19200) DIMM 288-Pin - BLS8G4D240FSB (Gray),Crucial,172500,$64.99,483,"B00UFBZOVE 4.7 out of 5 stars 2.9 ounces ( ) March 9, 2015 8 GB 2400 Crucial BLS8G4D240FSB 2.6 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches Gray DDR4 SDRAM 1.2 volts"
B006YG9EEW,Crucial Ballistix Sport  16GB Kit (8GBx2) 1600 MHz Clock Speed DDR3 PC3-12800 240-Pin UDIMM Memory Module (BLS2KIT8G3D1609DS1S00),Crucial,172500,$106.88,2816,"B006YG9EEW 4.7 out of 5 stars 3.2 ounces ( ) November 1, 2004 8 GB DDR3 1600 1600 MHz Crucial Ballistix Sport BLS2KIT8G3D1609DS1S00 3.2 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches DDR3 SDRAM 1.5 volts"
B00TY6A1LY,HyperX FURY Black 16GB Kit (2x8GB) 2133MHz DDR4 Non-ECC CL14 DIMM Desktop Memory (HX421C14FBK2/16),None,172500,$119.49,681,"B00TY6A1LY 4.7 out of 5 stars 1.4 ounces ( ) February 24, 2015 16 GB DDR4 2133 2133 MHz HyperX 16GB 2133MHZ KIT OF 2 HYPERX FURY BLACK HX421C14FBK2/16 1.4 ounces 5.2 x 1.2 x 0.1 inches 5.25 x 1.23 x 0.13 inches Black DDR4 SDRAM 1.2 volts"
B0091LG13O,Crucial 16GB Kit (8GBx2) DDR3L 1600 MT/s (PC3L-12800)  Unbuffered UDIMM  Memory CT2K102464BD160B,Crucial,172500,$98.90,196,"B0091LG13O 4.7 out of 5 stars 3.5 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. September 14, 2012 16 GB DDR3 1600 1600 MHz Crucial 2-8GB DDR3-1600 UDIMM 1.35V CL=11 CT2K102464BD160B 2.2 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches Black, green DDR3 SDRAM 1.35 volts"
B00CQ35HBQ,Kingston Technology 8GB 1600MHz DDR3L (PC3-12800) 1.35V Non-ECC CL11 SODIMM Intel Laptop Memory KVR16LS11/8,Kingston Technology,172500,$ 5 0 . 9 8,1597,"B00CQ35HBQ 4.8 out of 5 stars 1.1 ounces May 13, 2013 8192 MB DDR3 1600 1600 MHz Kingston Technology KVR16LS11/8 0.5 ounces 2.8 x 1.4 x 0.3 inches 2.8 x 1.4 x 0.3 inches DDR3 SDRAM 1.35 volts"
B00JCRZ6XS,Crucial 16GB Kit (8GBx2) DDR3/DDR3L 1866 MT/s (PC3-14900) SODIMM 204-Pin Memory - CT2K102464BF186D,Crucial,172500,$87.99,317,"B00JCRZ6XS 4.8 out of 5 stars 1.4 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item is not eligible for international shipping. March 30, 2014 16 GB DDR3 1800 667 MHz Crucial MICRON CONSUMER PRODUCTS GROUP, INC CT2K102464BF186D 0.6 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches DDR3 SDRAM 1.35 volts"
B00MMLUYQK,Crucial 16GB Kit (8GBx2) DDR4 2133 MT/s (PC4-17000) CL15 DR x8 Non-ECC UDIMM 288-Pin Memory CT2K8G4DFD8213/CT2C8G4DFD8213,Crucial,172500,$108.06,335,"B00MMLUYQK 4.7 out of 5 stars 0.3 ounces ( ) August 18, 2014 16 GB DDR3 2133 2133 MHz Crucial CT2K8G4DFD8213 CT2K8G4DFD8213 0.3 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches DDR4 SDRAM 1.2 volts"
B015YPB8ME,Crucial 32GB Kit (16GBx2) DDR4 2133 MT/s (PC4-17000) DR x8 SODIMM 260-Pin - CT2K16G4SFD8213,Crucial,172500,$228.38,314,"B015YPB8ME 4.7 out of 5 stars 4.2 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. November 26, 2015 32 GB DDR 400 2133 MHz Crucial CT2K16G4SFD8213 CT2K16G4SFD8213 2.9 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches green DDR4 SDRAM 1.2 volts"
B008CP5Q7M,Kingston Technology 4GB 1333 MHz 240-Pin DDR3 SDRAM Memory  Module (KVR13N9S8/4),Kingston Technology,172500,$29.99,452,"B008CP5Q7M 4.4 out of 5 stars 0.6 ounces ( ) Item can be shipped within U.S. This item can be shipped to select countries outside of the U.S. September 19, 2011 4 GB DDR3 1333 1333 MHz 7025-01-626-2231 Kingston Technology KVR13N9S8/4 KVR13N9S8/4 0.6 ounces 13 x 4.5 x 0.1 inches 13 x 4.5 x 0.1 inches DDR3 SDRAM 1.5 volts"
B01HKF450S,"Corsair Vengeance 16GB (2x8GB) DDR4 3200 (PC4-25600) C16 for Intel 100, Red LED (CMU16GX4M2C3200C16R)",Corsair,172500,$139.50,164,"B01HKF450S 4.3 out of 5 stars 1.4 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. June 23, 2016 16 GB DRAM 3200 MHz Corsair CMU16GX4M2C3200C16R 1.4 ounces 5.3 x 0.3 x 2 inches 5.32 x 0.28 x 1.97 inches Vengeance LED Red DDR4 SDRAM 1.2 volts"
B016BWENUI,CORSAIR DOMINATOR Platinum Series 32GB (2 x 16GB) DDR4 DRAM 3000MHz C15 memory kit  (CMD32GX4M2B3000C15),Corsair,172500,$249.99,39,"B016BWENUI 4.8 out of 5 stars 8 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. October 10, 2015 32768 MB DDR 400 3000 MHz Corsair CMD32GX4M2B3000C15 5.6 ounces 6.5 x 6.3 x 0.7 inches 6.49 x 6.29 x 0.66 inches Black, silver DDR4 SDRAM 1.35 volts"
B014R8JRRW,Kingston Technology HyperX Impact 16GB RAM DDR4 2133 HX421S13IBK2/16,None,172500,$139.99,341,"B014R8JRRW 4.8 out of 5 stars 1.4 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. September 5, 2015 16 GB DDR4 2133 2133 MHz HyperX HX421S13IBK2/16 HX421S13IBK2/16 1.4 ounces 2.7 x 1.2 x 0.1 inches 2.66 x 1.18 x 0.13 inches Black DDR4 SDRAM 1.2 volts"
B0123ZCD36,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 2133MHz C13 Desktop Memory Kit - Black (CMK16GX4M2A2133C13),Corsair,172500,$119.87,80,"B0123ZCD36 4.5 out of 5 stars 1.4 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. July 6, 2015 16 GB DDR2 1366 2133 MHz Corsair CMK16GX4M2A2133C13 0.3 ounces 6.1 x 0.4 x 3.5 inches 6.1 x 0.4 x 3.5 inches DDR4 SDRAM 1.2 volts"
B00505EZYW,Corsair Apple 8 GB Dual Channel Kit DDR3 1066 (PC3 8500) 204-Pin DDR3 Laptop SO-DIMM Memory 1.5V,Corsair,172500,$57.99,738,"13 x 7.1 x 2 inches 1.4 ounces 1.4 ounces ( ) memory Corsair B00505EZYW Made in USA or Imported CMSA8GX3M2A1066C7 4.7 out of 5 stars May 9, 2011 None None"
B0181JTF66,Crucial 16GB Kit (8GBx2) DDR3L 1866 MT/s  (PC3-14900) SODIMM 204-Pin Memory For Mac - CT2K8G3S186DM,Crucial,172500,$127.99,110,"B0181JTF66 4.7 out of 5 stars 1.6 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. November 15, 2015 DDR3 1800 667 MHz Crucial CT2K8G3S186DM 2.9 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches Green DDR3 SDRAM 1.35 volts"
B008CP5QR2,Kingston Value RAM 4GB 1600MHz PC3-12800 DDR3 Non-ECC CL11 DIMM SR x8 Desktop Memory (KVR16N11S8/4),Kingston Technology,172500,$24.88,212,"B008CP5QR2 4.5 out of 5 stars 0.6 ounces ( ) Item can be shipped within U.S. This item can be shipped to select countries outside of the U.S. June 22, 2012 4 GB DDR3 1600 1600 MHz Kingston Technology KVR16N11S8/4 KVR16N11S8/4 12.8 ounces 13 x 4.5 x 0.1 inches 13 x 4.5 x 0.1 inches DDR3 SDRAM 1.5 volts"
B013J7T5K6,G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin DDR4 2400 (PC4 19200) Intel Z170/X99 Desktop Memory F4-2400C15D-16GVR,G.Skill,172500,$119.39,44,"5.4 x 0.6 x 0.2 inches 3.5 ounces 4.8 ounces ( ) G.Skill B013J7T5K6 Made in USA F4-2400C15D-16GVR 4.6 out of 5 stars August 25, 2015 None None"
