ASIN,AMAZON_RATING_1,AMAZON_RATING_2,AMAZON_RATING_3,AMAZON_RATING_4,AMAZON_RATING_5,AMAZON_RATING_AVG
['B00005ARK3'],20,11,8,20,41,3.5100000000000002
['B00005LLY4'],16,8,5,19,52,3.83
['B00005LLY4'],16,8,5,19,52,3.83
['B00005QBUU'],10,8,8,23,51,3.9699999999999998
['B00005TQ08'],4,4,4,16,72,4.4799999999999995
['B00006HNZ1'],12,18,3,21,46,3.71
['B00007056H'],4,6,9,22,59,4.26
['B000070G4C'],0,8,8,15,69,4.45
['B00008SCFL'],26,9,7,19,39,3.3600000000000003
['B000093S8Z'],15,6,1,7,71,4.13
['B000093S8Z'],15,6,1,7,71,4.13
['B00009RDIF'],9,7,14,23,47,3.92
['B0000AKGPB'],17,0,17,33,33,3.6500000000000004
['B0000CD0BU'],13,13,7,13,54,3.8200000000000003
['B0000CG4DI'],13,8,12,17,50,3.83
['B0001D3K8A'],16,6,7,19,52,3.85
['B0002F8578'],11,4,8,15,62,4.13
['B0002IP2TY'],2,0,3,9,86,4.77
['B0006B486K'],8,10,11,23,48,3.93
['B0007N55NM'],11,11,16,24,38,3.67
['B00080DSEM'],11,5,11,26,47,3.93
['B00081S0YY'],5,20,15,30,30,3.5999999999999996
['B000DT7ZJM'],8,2,4,11,75,4.43
['B000F2BP7U'],7,10,11,22,50,3.98
['B000FQ2JLW'],2,1,4,10,83,4.710000000000001
['B000GOUE7O'],11,6,13,11,59,4.01
['B000HJ98M0'],37,0,12,13,38,3.15
['B000I4UQFC'],15,10,8,25,42,3.69
['B000IJY8DS'],13,4,5,11,67,4.15
['B000JJR8I4'],5,4,3,12,76,4.5
['B000JREMTO'],3,3,4,10,80,4.61
['B000KA7PD0'],14,13,11,21,41,3.62
['B000LRMR26'],3,1,1,10,85,4.73
['B000MX7Z0S'],8,0,11,33,48,4.13
['B000MX7Z12'],8,3,5,23,61,4.26
['B000MX7Z1C'],0,0,0,29,71,4.71
['B000MX7Z1M'],6,6,5,19,64,4.29
['B000MX7Z1W'],6,0,13,31,50,4.1899999999999995
['B000MX7Z26'],0,0,33,33,34,4.01
['B000OCUS7Y'],12,6,0,23,59,4.109999999999999
['B000PCF7A6'],4,8,10,29,49,4.11
['B000PEHZ9K'],9,3,6,11,71,4.32
['B000PMGZDO'],2,2,2,9,85,4.73
['B000Q84G5Q'],10,3,1,16,70,4.33
['B000Q85WIQ'],11,7,4,7,71,4.2
['B000Q85WOK'],13,3,3,13,68,4.2
['B000QD7B6W'],26,8,8,18,40,3.38
['B000TGK05A'],0,0,4,16,80,4.76
['B000UCELXK'],7,2,8,21,62,4.29
['B000VMSZN6'],11,4,4,13,68,4.23
['B000VRZ7PA'],9,4,6,15,66,4.25
['B000VZ40CI'],13,3,8,9,67,4.140000000000001
['B000WJCM9G'],34,7,5,5,49,3.2800000000000002
['B0010LTSHY'],0,0,0,100,0,4.0
['B0010Z1W06'],10,4,5,15,66,4.23
['B00116SLYY'],4,1,3,11,81,4.640000000000001
['B00116VHMC'],0,0,0,13,87,4.869999999999999
['B0011A4UZE'],3,2,3,12,80,4.64
['B0012WDMNC'],2,2,3,12,81,4.680000000000001
['B0012Y0QT8'],4,1,4,12,79,4.61
['B001342KM8'],4,1,2,11,82,4.66
['B0013LO1GE'],0,0,0,50,50,4.5
['B00153AMG8'],24,5,5,19,47,3.6
['B0015AFWD4'],13,7,8,16,56,3.95
['B0016HLHQW'],10,0,10,0,80,4.4
['B00180F402'],21,10,7,7,55,3.6500000000000004
['B0019L0X38'],17,6,6,22,49,3.8000000000000003
['B001B99I34'],20,13,9,21,37,3.42
['B001BS1ONW'],0,2,0,8,90,4.86
['B001CN9K6E'],20,9,8,18,45,3.59
['B001D86S3G'],4,1,4,12,79,4.61
['B001E06VVM'],32,9,0,5,54,3.4000000000000004
['B001EZMEZO'],8,3,7,18,64,4.2700000000000005
['B001G45XLU'],7,7,7,13,66,4.24
['B001GMGN1G'],0,12,12,13,63,4.27
['B001H5Z0XE'],0,0,11,22,67,4.5600000000000005
['B001IEXU68'],11,3,8,19,59,4.119999999999999
['B001IEXU68'],11,3,8,19,59,4.119999999999999
['B001JQMIAY'],26,17,12,15,30,3.06
['B001JQMIAY'],26,17,12,15,30,3.06
['B001KARQXI'],6,6,12,21,55,4.13
['B001LGUA3E'],0,0,0,0,0,0.0
['B001MQBQSQ'],5,5,5,19,66,4.36
['B001MTE32O'],13,5,8,17,57,4.0
['B001NXDBI6'],10,8,12,22,48,3.9
['B001OVBXIC'],3,3,0,15,79,4.640000000000001
['B001QIUB5E'],10,10,30,10,40,3.6
['B001QIUB6I'],12,6,13,25,44,3.83
['B001QSD5GQ'],6,0,0,18,76,4.58
['B001RB21IK'],5,0,2,15,78,4.61
