ASIN,NID,RID,NAME,PRICE,CATEGORY,BRAND,AMAZON_INFO,NEWEGG_INFO,AMAZON_NUM_REVIEWS,NEWEGG_NUM_REVIEWS,AMAZON_RATING_1,AMAZON_RATING_2,AMAZON_RATING_3,AMAZON_RATING_4,AMAZON_RATING_5,AMAZON_RATING_AVG
B00005ARK3,9SIA0AJ0NA7913,33-124-002,linksys befw11s4 wireless router ieee 802.3/3u  ieee 802.11b | cisco-linksys wireless-b cable/dsl,49.98,Wireless Routers,linksys,8.2 x 7.2 x 2.1 inches 2.5 pounds 2.5 pounds b00005ark3 befw11s4 3.4 out of 5 stars may 2  2006 none none,befw11s4,1108,69,20,11,8,20,41,3.51
B00005LLY4,9SIA5AD4YZ4354,22-136-292,"refurbished  western digital blue wd800bb 80gb 7200 rpm 2mb cache ide ultra ata100 / ata-6 3.5"" hard drive bare drive | udma/100 7200rpm",37.74,Internal Harddrives,western digital,5.8 x 4 x 1 inches 1.3 pounds 1.3 pounds     western digital b00005lly4 imported  thailand  wd800bb 7025-01-499-4377 7025-01-502-8221 4.0 out of 5 stars january 17  2006 none none,wd800bb,159,97,16,8,5,19,52,3.83
B00005LLY4,9SIAAEE3XR1053,22-144-102,"western digital caviar wd800bb 80gb 7200 rpm 2mb cache ide ultra ata100 / ata-6 3.5"" internal hard drive bare drive | udma/100 7200rpm",32.25,Internal Harddrives,western digital,5.8 x 4 x 1 inches 1.3 pounds 1.3 pounds     western digital b00005lly4 imported  thailand  wd800bb 7025-01-499-4377 7025-01-502-8221 4.0 out of 5 stars january 17  2006 none none,wd800bb,159,506,16,8,5,19,52,3.83
B00005QBUU,9SIA0AJ0ZB3820,26-159-210,sony mdr-e818lp fontopia ear-bud headphones with acoustic twin turbo circuit  discontinued by manufacturer  | - bud style,49.85,Headphones,sony,3.9 x 10 x 3.9 inches 4 ounces 1.4 ounces     sony b00005qbuu item can be shipped within u.s. this item is not eligible for international shipping. mdre818lp 1 lithium ion batteries required. 3.7 out of 5 stars yes october 2  2001 none none,mdr-e818lp,284,16,10,8,8,23,51,3.97
B00005TQ08,9SIA4RE38E5766,26-105-115,microsoft intellimouse optical mouse,20.07,Mice,microsoft,9.5 x 8.9 x 2.1 inches 11.2 ounces 11.2 ounces b00005tq08 d58-00026 4.1 out of 5 stars november 6  2001 none none,d58-00026,293,55,4,4,4,16,72,4.48
B00006HNZ1,9SIA67S2MJ6064,22-140-118,"western digital caviar wd400bb 40gb 7200 rpm 2mb cache ide ultra ata100 / ata-6 3.5"" hard drive bare drive | 7200rpm bulk/oem",50.95,Internal Harddrives,western digital,5.5 x 4 x 1 inches 2 pounds 1.5 pounds     item can be shipped within u.s. this item can be shipped to select countries outside of the u.s. b00006hnz1 wd400bb 7025-01-499-6464 4.1 out of 5 stars yes august 29  2002 none none,wd400bb,33,220,12,18,3,21,46,3.71
B00007056H,9SIA7HN2M96288,26-106-363,koss ktxpro1 titanium portable headphones with volume control | stereo headphone,19.45,Headphones,koss,10.2 x 7.2 x 2 inches 4 ounces 7 ounces     electronics koss b00007056h imported  china  ktxpro1 4.3 out of 5 stars october 2  2001 none none,ktxpro1,1516,14,4,6,9,22,59,4.26
B000070G4C,9SIA67S2MJ6064,22-140-118,"western digital caviar wd400bb 40gb 7200 rpm 2mb cache ide ultra ata100 / ata-6 3.5"" hard drive bare drive | 7200rpm bulk/oem",50.94,Internal Harddrives,western digital,5.7 x 3.9 x 1 inches 2 pounds 1.3 pounds     western digital b000070g4c wd400bb-rtl2 4.2 out of 5 stars may 7  2007 none none,wd400bb,13,220,0,8,8,15,69,4.45
B00008SCFL,9SIA0AJ3598363,33-122-016,netgear wgr614 802.11b/g wireless-g broadband router up to 54mbps/ 10/100 mbps ethernet port x4,59.73,Wireless Routers,netgear,1.1 x 6.9 x 4.9 inches 1 pounds 1.1 pounds     b00008scfl wgr614na 3.9 out of 5 stars march 8  2003 none none,wgr614,1279,792,26,9,7,19,39,3.36
B000093S8Z,9SIA5AD4YZ4354,22-136-292,"refurbished  western digital blue wd800bb 80gb 7200 rpm 2mb cache ide ultra ata100 / ata-6 3.5"" hard drive bare drive | 7200rpm bulk/oem 3.5 inch desktop",14.99,Internal Harddrives,western digital,5.8 x 4 x 1 inches 1 pounds 1.3 pounds item can be shipped within u.s. this item is not eligible for international shipping. b000093s8z wd800bb 7025-01-499-4377 7025-01-502-8221 4.1 out of 5 stars april 28  2004 none none,wd800bb,83,97,15,6,1,7,71,4.13
B000093S8Z,9SIAAEE3XR1053,22-144-102,"western digital caviar wd800bb 80gb 7200 rpm 2mb cache ide ultra ata100 / ata-6 3.5"" internal hard drive bare drive | 7200rpm bulk/oem 3.5 inch desktop",9.5,Internal Harddrives,western digital,5.8 x 4 x 1 inches 1 pounds 1.3 pounds item can be shipped within u.s. this item is not eligible for international shipping. b000093s8z wd800bb 7025-01-499-4377 7025-01-502-8221 4.1 out of 5 stars april 28  2004 none none,wd800bb,83,506,15,6,1,7,71,4.13
B00009RDIF,9SIA76D4RS9354,26-181-012,panasonic over-the-ear stereo headphones rp-ht227  black & silver  integrated volume controller  travel-fold design | headphone,20.27,Headphones,panasonic,7 x 2 x 2 inches 1 pounds 7.2 ounces panasonic english b00009rdif item can be shipped within u.s. this item is not eligible for international shipping. rpht227 3.9 out of 5 stars may 20  2003 none none,rp-ht227,559,12,9,7,14,23,47,3.92
B0000AKGPB,9SIA9AX4SS5695,23H-000F-00061,refurbished  creative labs sound blaster live! 5.1 pci sb0200 sound card 0r533,8.1,Sound Cards,creative,6.6 x 6.6 x 1.6 inches 12 ounces 14.4 ounces creative b0000akgpb 70sb022200007 2.6 out of 5 stars january 7  2006 none none,sb0200,12,0,17,0,17,33,33,3.65
B0000CD0BU,9SIA4RE4VX3655,23H-0035-00002,refurbished  creative sound blaster x-fi xtrememusic 7.1 channels 24-bit 96khz pci interface sound card | labs audigy2 zs platinum internal 70sb035000003,54.49,Sound Cards,creative,14.7 x 9.2 x 3.8 inches 3.2 pounds 3.2 pounds item can be shipped within u.s. this item is not eligible for international shipping. b0000cd0bu 70sb035000003 7050-01-530-7395 3.8 out of 5 stars august 28  2003 none none,platinum,15,0,13,13,7,13,54,3.82
B0000CG4DI,9SIA4RE4XA9790,29-102-178,creative sound blaster audigy2 zs sb0350 7.1 channels pci interface sound card | labs audigy 2 internal,56,Sound Cards,creative,7.5 x 5.1 x 1.7 inches 3 pounds 1.6 pounds item can be shipped within u.s. this item is not eligible for international shipping. b0000cg4di sb0350 3.4 out of 5 stars september 11  2003 none none,sb0350,60,311,13,8,12,17,50,3.83
B0001D3K8A,9SIA0AJ3ZC0154,33-124-136,linksys wrt54gs wireless-g broadband router with speedbooster ieee 802.3/3u  ieee 802.11b/g | cisco-linksys,57.19,Wireless Routers,linksys,1.9 x 7.3 x 7.9 inches 1.1 pounds 2.3 pounds b0001d3k8a wrt54gs 3.9 out of 5 stars yes march 7  2005 none none,wrt54gs,749,301,16,6,7,19,52,3.85
B0002F8578,9SIAAEE48J6992,22-144-309,"western digital caviar se wd2500jb 250gb 7200 rpm 8mb cache eide 3.5"" hard drive bare drive | 250 gb",22.99,Internal Harddrives,western digital,4 x 6 x 2 inches 1.6 pounds 1.6 pounds     item can be shipped within u.s. this item is not eligible for international shipping. b0002f8578 wd2500jb 7025-01-536-2533 7025-01-538-4031 4.1 out of 5 stars june 29  2004 none none,wd2500jb,129,336,11,4,8,15,62,4.13
B0002IP2TY,9SIA4RE54V1825,20-145-086,crucial 1gb ddr 333mhz  pc2700  unbuffered  non-ecc  184-pin dimm desktop memory upgrade ct12864z335 | sdram 333 pc 2700 model,22.74,Memory,crucial,5.2 x 0.1 x 1.2 inches 0.3 ounces 0.3 ounces     item can be shipped within u.s. this item is not eligible for international shipping. b0002ip2ty ct12864z335 4.5 out of 5 stars june 25  2004 none none,ct12864z335,164,265,2,0,3,9,86,4.77
B0006B486K,9SIA7HN2M98202,26-106-720,koss ksc75 portable sportclip stereophone earphone | headphones,17.27,Headphones,koss,6.5 x 2.5 x 6.5 inches 1.4 ounces 2.9 ounces     unisex-adult koss b0006b486k made in usa or imported for proposition 65 warning 155540 5965-01-572-9399 3.9 out of 5 stars january 23  2005 none none,ksc75,2426,74,8,10,11,23,48,3.93
B0007N55NM,9SIA0AJ17S4938,26-159-223,sony mdr-xd100 stereo headphones  discontinued by manufacturer  | - studio monitor series,97.95,Headphones,sony,9.8 x 7.5 x 3.8 inches 12 ounces 12 ounces     sony b0007n55nm item can be shipped within u.s. this item is not eligible for international shipping. imported  thailand  mdrxd100 3.5 out of 5 stars yes october 2  2001 none none,mdr-xd100,316,92,11,11,16,24,38,3.67
B00080DSEM,9SIA1N82853897,26-105-166,microsoft compact optical mouse 500 - black,11.59,Mice,microsoft,3.4 x 1.9 x 1 inches 4 ounces 4 ounces     b00080dsem u81-00009 4.1 out of 5 stars june 6  2005 none none,u81-00009,83,26,11,5,11,26,47,3.93
B00081S0YY,9SIA6ZP49F8502,26-106-953,koss td85 home stereo headphone | stereophones,36.26,Headphones,koss,11 x 7.6 x 4.2 inches 1.2 pounds 1.1 pounds     china b00081s0yy 155532 3.7 out of 5 stars none none,td85,20,12,5,20,15,30,30,3.6
B000DT7ZJM,9SIA4RE54X1870,20-145-048,crucial 1gb ddr2-667  pc2-5300  200-pin sodimm cl=5 unbuffered non-ecc laptop memory - ct12864ac667 | ddr2 so-dimm ddr2 667 pc2 5300 model,15.5,Memory,crucial,3.9 x 2 x 0.8 inches 0.3 ounces 0.3 ounces     b000dt7zjm ct12864ac667 4.4 out of 5 stars november 1  2004 none none,ct12864ac667,115,343,8,2,4,11,75,4.43
B000F2BP7U,N82E16826242002,26-242-002,3m ergonomic mouse  optical  usb/ps2 compatible  small size  black  em500gps  | 3 buttons usb,62.03,Mice,3m,b000f2bp7u 3.9 out of 5 stars 10.7 ounces     item can be shipped within u.s. this item can be shipped to select countries outside of the u.s. march 3  2004 3m 3m ergonomic mouse em500gps pc 10.6 ounces 5.2 x 5.4 x 5.4 inches 5.2 x 5.4 x 5.4 inches black none,em500gps,509,8,7,10,11,22,50,3.98
B000FQ2JLW,N82E16820148086,20-148-086,crucial 2gb  2 x 1gb  200-pin ddr2 so-dimm ddr2 667  pc2 5300  dual channel kit laptop memory model ct2kit12864ac667 | 1gbx2 667mhz pc2-5300 cl5 sodimm notebook modules,29.39,Memory,crucial,7 x 0.4 x 5 inches 1.1 ounces 1.4 ounces     b000fq2jlw ct2kit12864ac667 4.7 out of 5 stars july 7  2004 none none,ct2kit12864ac667,642,684,2,1,4,10,83,4.71
B000GOUE7O,9SIA4RE2SX1293,26-105-188,microsoft intellimouse explorer 3.0 optical mouse  dark gray,20.73,Mice,microsoft,9.5 x 8.2 x 2 inches 13.9 ounces 12 ounces b000goue7o b75-00113 3.7 out of 5 stars september 14  2004 none none,b75-00113,210,67,11,6,13,11,59,4.01
B000HJ98M0,9SIA85V3R95237,35-150-071,masscool 70mm sleeve cpu cooler  5t568s1h3 ,15.14,CPU Fans and Heatsinks,masscool,b000hj98m0 3.3 out of 5 stars 0.3 ounces     april 2  2004 masscool 5t568s1h3 0.3 ounces 4 x 3.2 x 3.2 inches 4 x 3.25 x 3.25 inches black none,5t568s1h3,8,60,37,0,12,13,38,3.15
B000I4UQFC,9SIA7XZ39J1103,26-105-053,microsoft 4ch-00012 aluminium 5 buttons 1 x wheel usb bluetooth wireless laser mouse 8000,179.99,Mice,microsoft,9.2 x 9.2 x 3.5 inches 1.6 pounds 1.6 pounds     currently  item can be shipped only within the u.s. and to apo/fpo addresses. for apo/fpo shipments  please check with the manufacturer regarding warranty and support issues. this item is not eligible for international shipping. b000i4uqfc 4ch-00012 3.9 out of 5 stars yes july 7  2004 none none,4ch-00012,83,43,15,10,8,25,42,3.69
B000IJY8DS,N82E16812189136,12-189-136,link depot hdmi-25-hdmi 25 ft black high speed hdmi to hdmi a/v cable - oem | feet,8.75,HDMI Cables,link depot,10 x 2 x 10 inches 2.4 ounces 2.4 ounces     link depot b000ijy8ds imported  china  for proposition 65 warning hdmi-25-hdmi 4.1 out of 5 stars october 2  2001 none none,hdmi-25-hdmi,4062,108,13,4,5,11,67,4.15
B000JJR8I4,N82E16820134192,20-134-192,kingston valueram 2gb 240-pin ddr2 sdram ddr2 667  pc2 5300  desktop memory model kvr667d2n5/2g | 667mhz non-ecc cl5 dimm,24.67,Memory,kingston,6.2 x 1.8 x 0.2 inches 0.8 ounces 0.6 ounces     b000jjr8i4 kvr667d2n5/2g 7025-01-570-6774 4.6 out of 5 stars january 20  2007 none none,kvr667d2n5/2g,182,161,5,4,3,12,76,4.5
B000JREMTO,9SIA0FU42J2262,20-134-513,kingston 2gb 200-pin ddr2 so-dimm ddr2 667  pc2 5300  laptop memory model kvr667d2s5/2g | valueram 667mhz non-ecc cl5 sodimm notebook,25.98,Memory,kingston,2.7 x 0.1 x 1.2 inches 8 ounces 0.6 ounces     b000jremto kvr667d2s5/2g 4.3 out of 5 stars december 6  2006 none none,kvr667d2s5/2g,100,130,3,3,4,10,80,4.61
B000KA7PD0,9SIA4RE59X5793,26-105-051,microsoft natural wireless laser mouse 6000,92.88,Mice,microsoft,9.6 x 9.4 x 3.6 inches 1.5 pounds 1.1 pounds b000ka7pd0 69k-00001 3.9 out of 5 stars june 17  2003 none none,69k-00001,289,50,14,13,11,21,41,3.62
